"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Proximal.Angle.Micro","0.512786202623592","0.472020513483986","0.527333333333333","0.413333333333333","0.12172892690016","0.131784270259916","0.109848380355227","0.190607177716024"
"Proximal.Angle.Macro","0.71300540254138","0.69844596342936","0.676","0.626666666666667","0.0871838579570644","0.0980266621369342","0.102111927009453","0.172881876368617"
"Proximal.Indentation.Area","0.69272021163808","0.682902642152513","0.650666666666667","0.612","0.101404329553045","0.0957805608595377","0.11800731786356","0.187143845188524"
"Distal.Angle.Micro","0.759193919298234","0.748729630353005","0.728","0.588","0.0730420136966707","0.0765987678251237","0.101081401179592","0.157548330711776"
"Distal.Angle.Macro","0.739410043946913","0.753503686983957","0.741333333333333","0.564","0.0891860066787949","0.0781796887770873","0.10045979306355","0.18691418552822"
"Distal.Indentation.Area","0.713553036922604","0.619124029244938","0.74","0.681333333333333","0.105505901983065","0.114453340818893","0.115856889272698","0.164004692463015"
"Distal.End.Protrusion","0.40022568728639","0.410771886548078","0.521333333333333","0.270666666666667","0.136826076446679","0.140889982185242","0.11961160112231","0.167310612823308"
"Obovoid","0.624025620896565","0.416068731692204","0.525333333333333","0.576","0.20000832690254","0.159649963869956","0.136684944486278","0.180855535807491"
"Ovoid","0.70183754331428","0.62345014139503","0.564","0.570666666666667","0.0966361131579176","0.120653415761828","0.12331005282424","0.167711267812364"
"V..Asymmetry","0.591144013762475","0.540930034770268","0.616","0.52","0.147582158242516","0.13283220545503","0.109960334520159","0.18966590194976"
"H..Asymmetry.ob","0.439973473292151","0.368742505272076","0.456","0.472","0.218609594725387","0.15150154654083","0.132846987725168","0.175369217413169"
"H..Asymmetry.ov","0.782220661795424","0.758248840957971","0.690666666666667","0.66","0.0765455933317861","0.0939884269565863","0.111335195365479","0.149720096789143"
"Width.Widest.Pos","0.642064543855119","0.558774674486106","0.61","0.586666666666667","0.1098806769077","0.125149235815379","0.118009213609126","0.17747924225601"
"Eccentricity","0.796148810465044","0.628767628858948","0.562666666666667","0.361333333333333","0.0727727059201155","0.106411422251484","0.103979003215167","0.171369010639632"
"Proximal.Eccentricity","0.254738912706462","0.185410036875153","0.446","0.456","0.329518110286627","0.164693816438269","0.134927273475442","0.195410426792761"
"Distal.Eccentricity","0.190314369489706","0.177174880420374","0.455333333333333","0.306666666666667","0.142932657213234","0.185596187556782","0.1343823387778","0.166554772282341"
"Fruit.Shape.Index.Internal","0.844238504820061","0.831575797481729","0.772666666666667","0.709333333333333","0.0521788405051583","0.0735302925512203","0.0810142639414115","0.134287414226676"
"Eccentricity.Area.Index","0.727707668660068","0.67155658656055","0.675333333333333","0.594666666666667","0.0808817241155569","0.0967702454644285","0.105510371427397","0.173316123736955"
"Average.Red","0.630391098785965","0.620235753649484","0.614666666666667","0.517333333333333","0.105485944241721","0.107295772135236","0.108921908277941","0.172134903653874"
"Average.Green","0.71766020002654","0.685558171903546","0.672666666666667","0.528","0.0828506243750769","0.0938997697933774","0.107376691674631","0.188644048888927"
"Average.Blue","0.738299656087417","0.698487867287678","0.693333333333333","0.629333333333333","0.0868636189613834","0.102659156649843","0.110317824359279","0.162838358798524"
"Average.Luminosity","0.701492468367342","0.669129866022655","0.666","0.602666666666667","0.0941005179288932","0.106898135243546","0.103515391327139","0.173378070289384"
"Average.L.Value","0.71116596823703","0.687681343798516","0.666","0.561333333333333","0.0850371945167599","0.101301864681282","0.107958480709238","0.183473812357593"
"Average.a.Value","0.717719237205042","0.585964723132655","0.615333333333333","0.254666666666667","0.0794171661183302","0.0972058684889754","0.121917931834937","0.160363122619251"
"Average.b.Value","0.424954667583507","0.458370852739923","0.555333333333333","0.313333333333333","0.137968081770519","0.142833970123922","0.110238707843185","0.197183751276158"
"Average.Hue","0.727228403810219","0.580301812822452","0.508","0.181333333333333","0.0755086330806733","0.0982823831108963","0.139279064177359","0.148995142782263"
"Average.Chroma","0.607283706494829","0.594509228911506","0.576","0.353333333333333","0.0975354309321794","0.103643803405447","0.119663959015438","0.17092981670012"
"Lobedness.Degree","0.538839077176777","0.502242917016018","0.501333333333333","0.430666666666667","0.11501811123812","0.116672545345625","0.112915402594937","0.144215846184903"
"Pericarp.Area","0.568355940403619","0.53792878753157","0.559333333333333","0.485333333333333","0.117148019440602","0.117123573647877","0.11118439045158","0.181487761588114"
"Pericarp.Thickness","0.526994912792815","0.489081997134512","0.502666666666667","0.332","0.118366753551594","0.122868805506977","0.111696296446306","0.160251480220158"
"Brix....refractometer","0.578933565884706","0.587862080678626","0.623333333333333","0.326666666666667","0.126305178376798","0.104216961362741","0.123927163424537","0.18452429921893"
"Vit..C","0.485738272583888","0.473805360856923","0.49","0.302666666666667","0.118506629827172","0.129569809816085","0.118009213609126","0.172990540404241"
"TP..Conc...mg.GAE.100g.FW","0.479030337273155","0.453818210568685","0.482666666666667","0.444","0.162122808120813","0.139788452416019","0.113956701224259","0.170069074004905"
"FRAP.Conc...uM.Fe2..gFW","0.425713398956852","0.405512180885445","0.501333333333333","0.362666666666667","0.16979166498589","0.14218640340557","0.109903353923251","0.191618562196036"
"fruit.wall.thickness.pericarp..mm.","0.867873359053971","0.864206286219327","0.77","0.669333333333333","0.0444054728363325","0.0535493550269434","0.106657577912563","0.155415298438778"
"fruit.weigth..g.","0.888856243840006","0.881983893599542","0.744666666666667","0.677333333333333","0.0375263073849084","0.0403795785554855","0.100693345798733","0.14243645311764"
"productivity..kg..per.plant","0.55636550098382","0.515343075768565","0.459333333333333","0.328","0.100468101931726","0.111898661881537","0.111786389457791","0.182863135088778"
"fruits.number.per.plant","0.846293367926049","0.714720123675524","0.741333333333333","0.676","0.123223254785176","0.0924871110258312","0.111840410428976","0.164940501780238"
