"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Distal.End.Protrusion","0.178085816374304","0.154983790564285","0.141091993220856","0.119977575661169","0.0928426963606807","0.0635559786644492","0.124793055074723","0.288447162500703","0.193619421442305","0.201950976158681","0.208943402869886","0.18747167163573","0.1571068395717","0.126613048938414","0.6","0.334166666666667","0.380952380952381","0.414444444444444","0.408333333333333","0.464444444444444","0.346666666666667","0.4","0.22","0.263333333333333","0.293333333333333","0.246666666666667","0.273333333333333","0.346666666666667"
"Obovoid","0.0739581640389832","-0.250926022077269","-0.2495584173182","-0.225914867950267","-0.247562153152444","-0.263835656408717","-0.241447108680856","0.0391231199803809","-0.154746726020792","-0.158786837002453","-0.145376517543298","-0.160327259885999","-0.169275449617816","-0.190515949306774","0.4","0.256666666666667","0.27047619047619","0.298888888888889","0.276666666666667","0.313333333333333","0.166666666666667","0.2","0.206666666666667","0.188333333333333","0.202222222222222","0.2","0.153333333333333","0.166666666666667"
"Ovoid","0.339522657929233","-0.407639603627353","-0.335802803313798","-0.136357954623047","0.0484624087406804","0.151597842474316","0.318123154885514","0.530521813757043","-0.341942168756024","-0.282402587485717","-0.0839455063677991","0.0725667757421301","0.137233985853138","0.213116963119776","0.5","0.120833333333333","0.134285714285714","0.19","0.158333333333333","0.268888888888889","0.166666666666667","0.4","0.0716666666666667","0.105","0.04","0.0233333333333333","0.0133333333333333","0.166666666666667"
"V..Asymmetry","0.0914323774614724","0.0620884103838865","0.0521941695313392","0.0540339418638608","0.068275964726529","0.02979466498476","0.0367899645432205","0.150820920364773","0.175082212813957","0.177624193001258","0.188270023773972","0.19793065486453","0.174275359206189","0.129099444873581","0.4","0.4725","0.453333333333333","0.495555555555556","0.45","0.444444444444444","0.306666666666667","0","0.01","0.0716666666666667","0.0933333333333333","0.11","0.0466666666666667","0.306666666666667"
"H..Asymmetry.ob","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"H..Asymmetry.ov","0.405170228355804","0.274252305031087","0.270766333130743","0.297824606775782","0.320387928901017","0.303579595403234","0.465165745664485","0.449350649350649","0.325885225885226","0.326498550724638","0.363005847953216","0.394813186813187","0.377666666666667","0.428","0.4","0.379166666666667","0.359047619047619","0.395555555555556","0.368333333333333","0.444444444444444","0.413333333333333","0.4","0.226666666666667","0.23","0.166666666666667","0.17","0.0866666666666667","0.413333333333333"
"Width.Widest.Pos","0.254133273420441","-0.0744180115993977","-0.0374574078443056","0.0424115598139119","0.110185846579892","0.136890407356903","0.241036144726934","0.415737203972498","0.0126129426129426","0.0431884057971014","0.127625730994152","0.184996336996337","0.208666666666667","0.268","0.6","0.359166666666667","0.363809523809524","0.427777777777778","0.435","0.486666666666667","0.446666666666667","0.2","0.39","0.356666666666667","0.351111111111111","0.31","0.2","0.446666666666667"
"Eccentricity","0.0733662694561148","0.01773737849805","0.00763183896405998","0.043451356259118","0.0813252672544669","0.0829955987802135","0.293943255292545","0.303590527119939","0.274745624745625","0.237026086956522","0.255298245614035","0.279062271062271","0.204555555555556","0.290666666666667","0.4","0.46","0.420952380952381","0.432222222222222","0.448333333333333","0.457777777777778","0.386666666666667","0.6","0.49","0.416666666666667","0.268888888888889","0.213333333333333","0.1","0.386666666666667"
"Proximal.Eccentricity","-0.109381687087219","0.136625082872497","0.269023849273211","0.45511143237315","0.525013470980538","0.527943279137906","0.3300388665085","-0.400580792059545","-0.027494554668566","0.0637786303531627","0.122665079360412","0.177031456118348","0.210334465201585","0.205891814893221","0.1","0.299166666666667","0.375238095238095","0.434444444444444","0.498333333333333","0.506666666666667","0.533333333333333","0","0.365","0.468333333333333","0.528888888888889","0.61","0.673333333333333","0.533333333333333"
"Distal.Eccentricity","0.0956497948869349","-0.184353572444047","-0.263801365789689","-0.348243782198339","-0.423358148427184","-0.463104679097937","-0.417000937445515","0.0525792931011537","-0.0880663805224148","-0.125733070009326","-0.191496485126718","-0.273618303431691","-0.296240602670201","-0.376793357449712","0.4","0.151666666666667","0.146666666666667","0.185555555555556","0.11","0.168888888888889","0.0533333333333333","0.2","0","0.0133333333333333","0.0155555555555556","0.00333333333333333","0","0.0533333333333333"
