Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Average.fruit.weight,Productivity.per.plant,Fruit.number.per.plant,Brix..,BNTC,FRAP..umol.Fe2..g.FW,TP..mg.GAE.100g.FW
CPSBB_TOM103,260.15,4156.928,72.023,73.716,63.387,75.805,76.482,1.037,0.891,1.071,0.732,0.485,1.522,0.066,0.078,0.475,0.116,280.133,267.8,0.229,152.233,123.133,0,0,0,0.214,0.192,0,0.473,0.416,0.668,0.889,0.887,0.889,0.446,123.515,63.589,50.176,81.694,36.583,26.984,23.019,40.476,35.485,2.68,0.693,0.166,200.6,2068,10,4.5,13.6,2.92,47.56
CPSBB_TOM104,223.637,3146.959,72.39,72.729,45.635,53.227,55.242,0.733,0.633,0.766,0.766,0.656,1.189,0.053,0.123,0.574,0.083,256.067,237.9,0.174,183.867,167.417,0.018966667,0.035433333,0.044033333,0.134,0.077,0.038366667,0.158,0.46,0.686,0.89,0.886,0.632,0.473,105.756,106.253,70.525,84.156,46.809,-7.607,23.436,108.028,24.647,1.562,0.71,0.156,147.7,1385,9,5.9,18.4,3.62,66.36
CPSBB_TOM105,133.285,1236.967,37.867,38.185,37.634,39.243,40.116,1.027,0.994,1.06,0.748,0.651,1.15,0.029,0.034,0.546,0.031,217.225,162.842,0.061,170.875,154.225,0,0,0,0.168,0.045,0,0.089,0.437,0.767,0.889,0.888,0.995,0.422,133.935,73.613,57.366,90,40.864,26.209,24.62,43.208,35.965,0.803,0.557,0.252,34.1,1794,53,4.7,33.5,5.64,84.2
CPSBB_TOM106,267.564,4240.101,86.191,86.755,46.849,59.803,62.502,0.692,0.545,0.731,0.806,0.677,1.191,0.072,0.16,0.575,0.145,285.033,265.167,0.263,186.033,167.683,0.0121,0.0115,0,0.167,0.167,0,0.26,0.457,0.625,0.89,0.886,0.545,0.518,136.407,76.806,60.444,92.611,42.264,25.455,24.511,44.42,35.391,1.061,0.682,0.173,218.8,1313,6,5.6,23.7,3.68,61.09
CPSBB_TOM107,240.688,3750.885,73.194,73.893,55.795,61.997,63.624,0.841,0.767,0.871,0.778,0.67,1.166,0.046,0.078,0.561,0.065,252.175,216.65,0.088,183.658,165.925,0.01715,0.0056,0.02885,0.153,0.142,0.0303,0.185,0.426,0.72,0.891,0.887,0.766,0.453,130.329,66.819,53.441,86.449,38.572,28.412,23.929,40.131,37.151,1.368,0.645,0.195,168.5,2472,15,5.9,22.9,3.92,64.35
CPSBB_TOM108,256.584,3862.695,82.973,83.1,45.085,57.912,62.091,0.702,0.551,0.756,0.756,0.707,1.072,0.067,0.154,0.585,0.105,285.75,244.85,0.13,193.3,182.55,0.0162,0.00375,0,0.101,0.147,0,0.145,0.513,0.621,0.89,0.886,0.55,0.517,125.437,65.03,50.205,82.63,37.264,26.982,24.217,42.016,36.307,2.214,0.626,0.207,166.1,1883,11,6,22.9,3.82,71.82
CPSBB_TOM109,122.042,1028.724,35.624,35.793,33.316,34.989,35.781,0.978,0.936,1.011,0.724,0.666,1.085,0.027,0.03,0.548,0.04,222.65,175.4,0.059,173.3,159.8,4e-04,0.001975,0,0.125,0.04,0,0.056,0.477,0.761,0.889,0.886,0.936,0.425,115.722,62.443,45.674,75.914,34.869,23.715,23.558,44.895,33.441,0.829,0.557,0.252,23.7,1057,45,7.2,39.1,6.55,106.69
CPSBB_TOM110,190.869,2502.782,54.335,54.589,54.144,57.235,57.366,1.047,0.997,1.053,0.705,0.606,1.192,0.03,0.036,0.519,0.045,234.4,183.183,0.083,166.225,148.625,0,0,0.030525,0.109,0.086,0.023175,0.134,0.477,0.757,0.89,0.887,0.996,0.408,104.28,64.551,51.138,73.077,33.755,17.262,17.509,45.808,24.649,1.138,0.671,0.18,88.4,1267,14,5.9,24.2,3.53,65.91
CPSBB_TOM111,190.446,2412.257,56.769,57.192,47.35,52.536,52.957,0.919,0.834,0.934,0.74,0.631,1.173,0.038,0.054,0.539,0.068,266.375,211.4,0.1,173.083,159.1,0.008275,0.0158,0,0.157,0.091,0,0.169,0.444,0.719,0.891,0.887,0.834,0.444,131.643,69.902,56.655,88.557,39.591,27.348,23.059,40.226,35.783,0.966,0.604,0.221,88.4,2414,27,5.5,24.4,3.68,59.67
CPSBB_TOM112,174.314,2051.059,53.277,53.7,43.519,47.562,47.923,0.888,0.821,0.907,0.752,0.598,1.258,0.035,0.053,0.529,0.062,247.45,205.125,0.107,168.95,153.075,0,0,0,0.173,0.067,0,0.174,0.452,0.732,0.888,0.887,0.82,0.431,115.862,60.856,47.417,76.768,34.49,24.985,21.673,40.844,33.088,0.741,0.607,0.22,69.1,1634,24,6,21.9,5.23,73.98
CPSBB_TOM113,151.81,1594.522,45.911,46.122,40.259,42.799,43.205,0.928,0.877,0.944,0.728,0.619,1.178,0.027,0.035,0.539,0.041,240.775,185.6,0.069,168.775,156.025,0,0,0,0.144,0.045,0,0.105,0.466,0.751,0.889,0.887,0.877,0.421,130.53,81.122,50.708,85.302,42.199,19.036,30.826,58.451,36.332,0.897,0.573,0.242,47,782,17,6,22.9,5.4,68.9
CPSBB_TOM114,228.7,3209.71,75.226,75.396,43.434,53.848,54.115,0.714,0.578,0.724,0.562,0.684,0.828,0.06,0.145,0.53,0.083,277.15,230.9,0.134,207.2,189.05,0.12975,0.0318,0.0696,0.071,0.283,0.12825,0.074,0.498,0.645,0.888,0.887,0.577,0.49,149.705,89.957,51.663,94.761,47.308,22.536,37.833,59.194,44.039,3.147,0.762,0.125,180.8,5422,8,7,39.5,6.05,71.19
