Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
CPSBB_TOM134,117.9294473,664.8552886,38.60533889,38.75337207,11.83276806,22.15655215,26.41921997,0.587777502,0.326843505,0.711840263,0.745132301,0.562012359,1.558713702,0.117142322,0.264769317,0.586186805,0.107578301,245.3837001,230.4971238,0.213973555,223.927482,260.0494019,0.160519384,0.014366838,0.048414114,0.083415016,1.283046233,0.891995783,0.040233806,0.495161077,0.443947938,0.891049036,0.871798133,0.323222153,0.638434164,119.7008746,63.30778166,46.13933872,78.32695118,35.97247099,25.06592546,24.74548455,44.53410705,35.26611763,7.241902986,0.633476406,0.189379101
CPSBB_TOM135,175.199377,1984.146462,56.14417732,56.259869,37.95688145,43.70322216,43.96682718,0.78490699,0.685253249,0.791489698,0.748914083,0.64476396,1.176224004,0.046379859,0.106620135,0.550541137,0.087450755,239.6747064,218.3744191,0.186786404,169.3254061,165.342077,0.004330479,0.007119667,0.006954526,0.136636383,1.283046233,0.891995783,0.15386311,0.465136395,0.696221991,0.889810275,0.887436298,0.684375035,0.458272503,156.8316738,83.99543258,52.16055297,97.65824639,46.82754918,30.01815786,37.56810103,51.67148264,47.97882032,1.757340067,0.664674513,0.184041336
CPSBB_TOM136,222.2118419,2633.59547,37.58864831,41.78850355,77.7168411,84.10796625,84.73673063,1.9893743,2.042798707,2.229536902,0.818702514,0.54243667,1.568094792,0.062576044,0.226814634,0.489636393,0.029240091,224.184065,155.6819501,0.118457601,113.9140217,84.30880346,0.002903909,0.206537394,0.005349883,0.080958945,1.283046232,0.891995783,0.501060305,0.553669824,0.739270187,0.874931293,0.904893619,2.047835355,0.444663661,139.4594352,74.56427395,58.81583544,93.09606077,42.05608353,28.3869712,25.17456848,41.53414798,37.91133735,1.515933748,0.655537586,0.188198179
CPSBB_TOM137,152.6470735,1597.94019,48.11497129,48.30041305,35.87597341,40.0643926,40.90039555,0.842206605,0.75859968,0.86434409,0.721831317,0.626090972,1.157774269,0.035853628,0.078406342,0.513392135,0.064355849,248.0443147,209.823983,0.105602617,166.9128307,160.197383,0.001667629,0.003272513,0.005349883,0.141608901,1.283046232,0.891995783,0.126923294,0.460139838,0.715418737,0.890819293,0.888315463,0.759877583,0.443354894,149.6302103,84.75232793,52.67647271,94.85020525,45.91714569,26.04075139,35.55330644,54.00129454,44.0711515,1.403829651,0.741217553,0.138727978
CPSBB_TOM138,206.1253225,2505.909983,65.94287109,66.14589079,37.58249129,47.16235874,49.95147384,0.739874745,0.606182487,0.790639348,0.747450167,0.671929517,1.135045453,0.058690281,0.135061626,0.551581101,0.087763156,233.019651,224.7506469,0.182493696,190.3323722,182.1443103,0.036060969,0.005856399,0.038841491,0.097266365,1.283046233,0.891995783,0.092015297,0.471670847,0.642617159,0.889810275,0.889607035,0.604873881,0.498876777,123.248716,80.7680264,59.2911274,86.0676228,41.37858321,16.27582248,23.36537235,56.69586764,29.40882651,2.642872299,0.709215575,0.152395004
CPSBB_TOM139,123.9796399,1068.255587,33.2972529,33.98874425,38.51368022,40.03637322,40.75097621,1.19183379,1.171035002,1.246462019,0.742662666,0.461865118,1.807352533,0.035732895,0.062269137,0.495309,0.015814842,205.1624224,163.6142407,0.040772937,130.4151498,121.8552555,0.002149569,0.01797428,0.004509033,0.20545091,1.28304623,0.891995783,0.200585639,0.423684917,0.768889462,0.89076782,0.885915945,1.170619857,0.386370419,125.6161928,64.67443447,49.46238263,82.42736845,37.29270464,27.28447935,24.48960709,41.90914753,36.6663803,1.145778494,0.571260045,0.242243388
CPSBB_TOM140,121.6562562,1026.31266,30.98045713,31.27468587,39.26901254,40.07837549,40.69207353,1.292174405,1.277659635,1.327326271,0.702635218,0.621272653,1.1354751,0.032112241,0.090952312,0.517424219,0.021639338,201.5628607,155.3776019,0.032912096,161.5039584,137.7878336,0.001535025,0.002619065,0.023241205,0.109024128,1.28304623,0.891995783,0.081622976,0.481032009,0.781974856,0.890556568,0.887278311,1.279723029,0.400435093,125.5054618,99.52655311,55.87726518,85.41434431,46.70260264,4.525661512,33.56516085,82.47265414,34.09475708,0.87795581,0.578141826,0.237142575
CPSBB_TOM141,204.6566645,2858.786353,62.89621841,63.38604304,49.18858625,54.41404265,56.17031589,0.856108557,0.781203217,0.894287544,0.746230238,0.625533994,1.206715563,0.03645065,0.069664313,0.534367902,0.053934596,239.3158554,199.4818923,0.066422235,166.0915093,150.0979456,0.009191879,0.013502496,0.006954526,0.153763777,1.283046233,0.891995783,0.17643984,0.452799799,0.723455606,0.889279377,0.887879305,0.781173512,0.440844804,146.6413312,80.17735071,50.14732793,92.19178216,44.2943302,27.37941877,34.99482977,52.30197096,44.39249519,3.149548552,0.695399205,0.162784752
CPSBB_TOM142,166.4864022,1836.271606,49.74932143,50.76662558,42.012634,46.1249224,46.7862321,0.911533102,0.849119744,0.953250066,0.70596267,0.569773268,1.30298051,0.051291868,0.066841655,0.519067118,0.074199371,241.9931586,215.8115213,0.15877012,159.3415723,147.4850829,0.002236318,0.013327226,0.033226082,0.152100428,1.283046232,0.891995783,0.183719009,0.438713208,0.728437133,0.886157177,0.885705938,0.848752242,0.426278599,131.9311675,75.77740054,58.08633746,89.35558211,41.13378825,24.00567628,24.15420804,45.13182987,34.12907887,1.488536787,0.670498323,0.178253275
CPSBB_TOM143,93.71030584,616.3194494,23.55001302,23.69619981,31.0023199,31.29990109,32.43386551,1.330473841,1.324745073,1.389389402,0.676322807,0.651553078,1.033660584,0.032916831,0.103190783,0.51763305,0.015437546,186.2430563,148.8147185,0.019681205,159.4662045,141.0794997,0.001535025,0.002619065,0.11486682,0.036211324,1.28304623,0.891995783,0.013362739,0.517335618,0.789374052,0.889336003,0.887771582,1.326283136,0.39302263,130.2813966,65.73680179,52.35770902,85.91029706,38.3166371,29.10087658,24.09246596,39.5523164,37.75512852,1.188585352,0.558104415,0.249870317
