Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-70,4,249.4332663,2947.241417,37.42266667,40.72466667,82.71933333,94.488,93.0261792,2.3202,2.2104,2.4656,0.9367,0.5792,1.6172,0.0739,0.2696,0.5396,0.0359,236.1,148.1,0.0999,110.400,116.9,0,0,0,0.2984,0.3122,0,0.6528,0.3737,0.6996,0.8804,0.8864,2.2159,0.4755,153.9112,75.6771,61.5532,101.3708,44.7301,34.0451,27.8772,39.3117,44.0024,2.0054,0.6182,0.2126
LYC-71,4,138.826875,1251.259146,42.926,43.26466667,33.528,37.50733333,38.20226887,0.8669,0.7811,0.8917,0.6805,0.6095,1.1165,0.0441,0.0771,0.4926,0.0666,274.7,226.2,0.074,166.7,158.3,0,0,0,0.1444,0.1303,0,0.1391,0.4379,0.7149,0.9029,0.8876,0.7822,0.4256,131.6766,82.417,59.8988,90.1563,42.7605,20.0274,25.9134,52.3009,32.7506,1.8396,0.6353,0.201
LYC-72,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-73,4,202.4733483,2588.424931,44.45,45.466,71.628,72.898,73.804907,1.6034,1.6114,1.6723,0.7067,0.5619,1.2576,0.0414,0.1612,0.4238,0.0079,184.8,129.4,0.0248,124.3,105.4,0,0,0,0.1144,0.2302,0,0.3893,0.5261,0.786,0.8895,0.8871,1.6172,0.3854,116.3443,73.8404,57.9693,82.0014,38.1953,17.6354,19.5083,47.8867,26.298,0.7447,0.6179,0.2125
LYC-74,4,181.453409,2130.239467,58.166,58.33533333,38.608,44.36533333,45.1993254,0.7605,0.6638,0.7782,0.77,0.7016,1.0975,0.0481,0.1091,0.5715,0.1031,251.1,229.4,0.1999,173.2,168,0,0,0,0.1298,0.0902,0,0.1165,0.4733,0.696,0.89,0.8878,0.6642,0.4728,139.9884,69.9255,53.8187,91.1824,40.8228,30.8286,27.3213,41.5484,41.1929,2.1171,0.6511,0.1916
LYC-75,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-76,4,242.8665789,3681.196939,73.49066667,73.99866667,58.42,63.66933333,64.48787373,0.8604,0.7949,0.8837,0.6993,0.5991,1.1673,0.0487,0.0859,0.5103,0.1174,304.5,246.6,0.2066,160.9,155.5,0,0,0,0.1529,0.1977,0,0.2159,0.4309,0.735,0.8932,0.8889,0.7954,0.4141,140.3594,68.4729,54.0686,91.454,40.6768,31.8773,26.8467,40.1037,41.6763,1.8149,0.7167,0.1481
LYC-77,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-78,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-79,4,219.2089003,3124.92565,69.93466667,70.104,48.26,54.94866667,58.4559664,0.7838,0.6901,0.8448,0.7893,0.6332,1.2467,0.0443,0.0968,0.5615,0.0432,250.7,226.1,0.0495,170.4,161.3,0,0,0,0.1419,0.0713,0,0.2085,0.4931,0.7037,0.8906,0.8889,0.6909,0.4578,147.6437,86.8862,71.7801,103.2328,46.6457,25.5383,23.6088,42.7518,34.779,3.0302,0.718,0.1519
