"line","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47"
143,223.832366960903,3386.21273828652,65.2523369770903,65.7849819397499,60.0616328623738,64.6917056323285,65.0518488655643,0.987952799609534,0.926005503091716,1.00612831293566,0.722506866272324,0.603117139314133,1.21652467261403,0.0348809764130042,0.0510525178933023,0.526007179057667,0.0486866935994092,233.071118023691,201.405877605092,0.0831849129733019,158.438619269154,145.651258150634,0.00153502509162362,0.00261906498681933,0.0268374660046318,0.125685303762821,1.28304623060161,0.89199578313253,0.167554299400292,0.45908769291363,0.741671842428106,0.892457832815294,0.887043420559183,0.924492066902732,0.422054777724899,151.78688091393,87.7747618140273,53.6527101493743,96.3782872841804,47.0497894826202,25.217250326292,36.4768707339495,55.4704330956772,44.3559308213478,1.03731474179449,0.7113030710805,0.156161103027957
144,182.897183943662,2218.88254713893,44.0254783864834,44.5735718970204,65.2230703990325,66.8758236671161,67.4570725811731,1.48904523129191,1.47024200064007,1.5266813072104,0.618829525356903,0.458149076686452,1.34083632566337,0.0364191625923026,0.121821777161189,0.445335706648643,0.00593442123353449,178.93851046015,126.703527681817,0.0138084260525751,122.595051780639,113.306067170869,0.0017332651015819,0.0272193570366852,0.0045090327099352,0.145010807481423,1.28304623056412,0.89199578313253,0.208741524919076,0.467159165398325,0.778691612068653,0.889641144478312,0.886033390298354,1.47037339049004,0.34747874416825,136.8477681671,117.552257119201,71.174065299746,97.7461944979553,53.4580679430298,-0.00471487549853933,33.3344644514607,90.1198872826614,33.575665614771,0.98810902884418,0.582032585915359,0.236170991589741
145,98.3942837788231,700.370786302356,27.536571518334,27.6002683877613,30.2050246743299,30.7958738488841,31.8225012480017,1.11928957782821,1.09984630453421,1.15447255633444,0.693864414332964,0.609614902191542,1.13716452390148,0.0235220630889541,0.0448501079977622,0.527218399715115,0.0180786133286396,232.478857547066,167.754583182107,0.0309011836997107,162.200626352497,143.342520137237,0.00153502509162362,0.00261906498681933,0.0045090327099352,0.126397007865773,1.28304623027952,0.89199578313253,0.0558413131334488,0.477861073112407,0.781499023905147,0.890040175326051,0.885962923070854,1.09957366437198,0.393545303284638,117.118313271601,65.7447988308239,50.484475480518,78.9955418412104,36.1681871181552,22.6729646337505,21.8101297842723,43.9246134304788,31.584265016388,0.89926420722103,0.607346840064514,0.219119703863459
146,106.732570651501,824.132788639246,31.9823147605091,32.1306581272054,29.8903028757923,30.5858624987175,31.7245997972191,0.95712761565715,0.939482856687356,0.994347248902849,0.715459913811053,0.63581829889325,1.12730598750792,0.0200907246889807,0.0261953502659652,0.538996476453062,0.0163336226198283,202.628929525157,176.813344265226,0.031952342592449,167.826220278051,154.520469528831,0.00153502509162362,0.00261906498681933,0.0045090327099352,0.120466140341178,1.28304623026104,0.89199578313253,0.0489994307865442,0.484293027748648,0.779714651975172,0.889171696422148,0.887583669303348,0.940304473910461,0.407134819434496,124.401300234171,110.561284144404,64.6323587139553,89.0297761508684,49.9650124113154,-2.51032901305631,32.283224308911,94.5571126450548,32.637931584006,0.9236558803788,0.575588515454718,0.23959582288519
147,100.555546489185,681.474023335019,22.4646672508565,22.7149633162098,35.4713694771678,35.7311405567159,36.9750357389473,1.58247338392096,1.58763876785562,1.65702602803533,0.706348128504947,0.668519458472366,1.05765467940854,0.0449146831825817,0.150124728063827,0.520201673147828,0.0108392599826255,184.229370718002,137.759123100887,0.0219663331114353,153.265859529558,125.421227043148,0.00153502509162362,0.00261906498681933,0.0722452002623422,0.0672890696745074,1.28304623037315,0.89199578313253,0.0432449999384853,0.518164385496922,0.789921259414628,0.889289058436189,0.886808529800851,1.58827206153842,0.405614314131015,123.13856068763,61.3099633965493,50.1212997229954,81.5386307086383,35.9719375763254,28.4248313236843,22.0049817971485,37.6308708945882,35.9468292627906,1.03112707059516,0.562943547003651,0.247659964658873
148,40.7047894646873,140.307265029497,12.5087234624377,12.6729309028133,10.2936419175617,10.7818005249641,12.2489486940488,0.867070204220986,0.836513925509093,1.00824161720547,0.62424734364702,0.648686417532824,0.993948432301367,0.0238770291303307,0.0528823476325996,0.528889048897803,0.0180550323731151,194.159604709417,141.370911245762,0.0303070504125108,174.636149766879,122.929618692057,0.00740292938638879,0.0134415960671986,0.0416967419671202,0.132108889512536,1.2830469333611,0.89199578313253,0.0268426064975616,0.452835905073923,0.782498272185933,0.905156402734522,0.879973208733375,0.872035807599742,0.409676914238752,98.3327954744697,98.6058477316197,61.7629886612478,77.4564170423728,43.5703968936914,-8.12653519355739,24.1490366889245,108.781717364843,25.8169499701212,1.42073917283559,0.554067751840883,0.248874443841657
149,54.3484033792644,222.591127699062,16.2865698360176,16.451743470561,14.2171571827288,14.7720244305837,16.9182803432896,0.913259128827926,0.887133208362881,1.05847510260725,0.701043970738399,0.616218837664987,1.13669405144885,0.0206350059524248,0.0366277561822186,0.527406347748167,0.0257188429185697,178.188313856425,138.618023940217,0.0465771619696773,107.390273152129,152.851777697366,0.00290288116033577,0.00503516509885973,0.0045090327099352,0.134535982991832,1.28304623024248,0.89199578313253,0.0304447895874883,0.465609730948138,0.755566151856178,0.882693313247089,0.878305484349214,0.902759143865915,0.43386245172224,86.6640108339583,89.8021221003036,57.2590792570895,71.1667564495239,39.4790860035704,-8.84884244793112,21.1552992491969,113.017264239649,23.2559656606479,2.00314052551522,0.611310551328983,0.216593587163269
150,54.842838627015,238.528528371646,16.8083542516551,16.9736859922516,15.5599784608108,15.6540720978109,17.8385703287034,0.933801109575909,0.936655780707077,1.07533295505833,0.689052785501882,0.608447003635145,1.1304282137844,0.0162570914421138,0.0279063598923211,0.522603231347941,0.00739644047605198,115.092831079956,164.715395596785,0.0113861903432217,135.169908790701,148.760053891445,0.00222886512647761,0.00497526179029674,0.0045090327099352,0.137437545873095,1.28304623022692,0.89199578313253,0.0265707436228502,0.453808805775203,0.79239558849086,0.891518936702967,0.887325289469182,0.936796019967298,0.386180355720904,86.9429327085219,91.319883456026,59.6468965690908,72.7879876493258,40.0222596380896,-9.3475789998882,20.2525328779403,115.187622406108,22.6447270628387,1.87970387650469,0.596160906434724,0.22349182892148
151,58.5958931762385,250.504970796888,18.4780841033019,18.6856140647649,14.0703035297509,14.8350030308956,17.2625164289188,0.802464331357234,0.770784408967608,0.969570578153421,0.733039408123041,0.597277646532148,1.23780285853939,0.0304793974999348,0.0791178285700568,0.53108177595008,0.0331468439087796,237.256425391842,104.019736284125,0.0711194369870886,56.7599278221421,155.960573438177,0.00351742519120645,0.0110454637246792,0.0045090327099352,0.140028878760764,1.28304623026741,0.89199578313253,0.0448535219471947,0.467843799225152,0.750450952323583,0.894030483803443,0.876872650723386,0.766075625663513,0.42516706201796,96.6057995601003,95.5074910952773,63.1594016967362,77.4992449446222,42.3844677916578,-6.848811141468,21.5123044200791,108.065390416828,22.8785884549029,1.69390479387087,0.607030715853238,0.218536753855723
152,49.7614081371302,202.784175319008,15.8482324697487,15.8880544241281,12.93728026485,13.3439059142563,15.2129439349065,0.85246365905179,0.828057068912914,0.986404139750826,0.728606647703855,0.631613864090221,1.15797223737421,0.0259121677675563,0.0587045331667274,0.537054346778188,0.0189746896385696,237.888169900243,65.2150368251595,0.0287988659142341,138.862249076204,160.852354971512,0.00248657713942337,0.00619329573107744,0.0045090327099352,0.137364550580484,1.28304623025194,0.89199578313253,0.031215067732504,0.463105412476324,0.767033715459483,0.892011857161939,0.879268536458378,0.825037143319451,0.42402668304035,91.5172611369922,97.8359437713829,58.8903770241517,75.1696139149146,42.601092316348,-11.5379418274478,24.6455179596253,115.396517917561,27.5102904994805,2.61371373273379,0.580841040811316,0.235150829076202
