Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-11 LYC-11,2,134.4717402,1207.216224,43.34933333,43.51866667,30.81866667,34.12066667,35.7873808,0.784,0.7109,0.8333,0.7363,0.6445,1.1424,0.0392,0.0904,0.5463,0.061,246.9,210.9,0.0865,180,168,0,0,0,0.1415,0.0655,0,0.0862,0.4467,0.7214,0.8896,0.8869,0.7108,0.4482,109.0908,54.0861,37.3392,68.8959,31.3972,25.226,24.4744,44.1336,35.1475,0.5529,0.5875,0.2323
LYC-12 LYC-12,2,138.3118307,1303.323558,35.72933333,36.99933333,41.82533333,44.36533333,44.93314187,1.1991,1.1706,1.2546,0.8057,0.5166,1.5596,0.0451,0.0695,0.5296,0.0182,232,183.4,0.0332,136.066,123,0,0,0,0.2672,0.0466,0,0.2214,0.3836,0.7533,0.8894,0.8894,1.1726,0.4281,123.0061,77.821,60.2394,86.2197,40.1332,18.6388,21.2842,48.7911,28.2917,0.6929,0.5573,0.2528
LYC-13 LYC-13,2,174.4675877,2002.533629,44.958,45.38133333,49.95333333,52.23933333,54.18196767,1.1511,1.1111,1.1727,0.7872,0.6817,1.1547,0.0394,0.064,0.5765,0.0381,222.1,189.2,0.06,171.4,150,0,0,0,0.1132,0.0519,0,0.1117,0.5089,0.7662,0.8906,0.8889,1.1132,0.4373,129.3562,64.7336,49.0509,83.9254,37.8794,28.7845,26.1175,42.2189,38.8674,0.7184,0.5284,0.272
LYC-14 LYC-14,2,238.5836478,3692.702292,74.676,74.84533333,54.77933333,60.36733333,62.72599427,0.8066,0.7336,0.84,0.7687,0.6315,1.2172,0.0373,0.0838,0.5488,0.0379,243.1,210.1,0.0446,174.7,161.3,0,0,0,0.1466,0.1112,0,0.197,0.4684,0.7247,0.8897,0.8866,0.733,0.4461,134.7745,55.2934,43.0787,83.6844,36.5799,36.2714,28.6164,38.2718,46.2007,1.1371,0.6045,0.2216
LYC-15 LYC-15,2,166.5294697,1924.712996,47.244,47.32866667,47.244,49.61466667,50.1757442,1.0483,1,1.064,0.7634,0.6147,1.242,0.0334,0.0394,0.5492,0.0376,219,186,0.059,169.5,148.3,0,0,0,0.162,0.0309,0,0.148,0.4488,0.7624,0.8902,0.8884,1,0.4181,131.0773,61.4775,47.1063,83.7763,37.2179,31.3938,26.6658,40.3445,41.1902,2.5169,0.528,0.2719
LYC-16 LYC-16,2,175.4566045,2104.726973,50.37666667,51.054,48.768,51.13866667,52.34371887,1.0017,0.9681,1.0408,0.7731,0.5714,1.3529,0.0353,0.0363,0.5306,0.0381,228.6,172.7,0.0625,167.9,140.9,0,0,0,0.2199,0.023,0,0.1972,0.4123,0.7629,0.8897,0.888,0.9705,0.4167,112.9408,71.0274,53.7479,78.4048,36.5606,17.5552,20.3091,49.1599,26.8448,1.6518,0.573,0.2418
LYC-17 LYC-17,2,278.7353328,4284.364191,91.186,91.77866667,46.31266667,60.706,64.856106,0.6614,0.5079,0.7215,0.8143,0.5952,1.3682,0.082,0.1856,0.5586,0.1326,235.9,275.3,0.31,171.2,164,0,0,0,0.1638,0.3099,0,0.3581,0.4644,0.6089,0.8898,0.8862,0.507,0.5073,129.8162,59.7741,41.5448,80.6334,36.6516,31.3066,29.6821,43.4741,43.1408,1.8982,0.719,0.1498
LYC-18 LYC-18,2,158.7401363,1746.763532,48.514,48.68333333,42.07933333,44.28066667,44.50825067,0.9096,0.8674,0.9235,0.7208,0.6213,1.1601,0.0235,0.0382,0.532,0.0296,242.5,189.1,0.0527,172.1,158.3,0,0,0,0.1471,0.0532,0,0.0856,0.4704,0.7586,0.8899,0.8859,0.8684,0.418,139.6932,67.4084,50.6748,89.5539,40.267,31.7799,28.6597,42.0447,42.7941,1.0498,0.5583,0.2504
LYC-19 LYC-19,2,173.807882,2078.282582,52.40866667,52.66266667,46.482,49.53,49.99614927,0.9405,0.8869,0.9555,0.7157,0.5945,1.2038,0.0269,0.0318,0.5265,0.0327,214.8,197.4,0.0647,175.8,152.4,0,0,0,0.1619,0.0552,0,0.1388,0.4462,0.75,0.8902,0.8866,0.8866,0.4138,136.4263,78.1308,50.1818,87.8228,42.1967,23.6871,31.5347,53.0882,39.44,0.5177,0.5589,0.2493
LYC-20 LYC-20,2,347.8994227,7463.060343,84.15866667,85.51333333,111.506,116.078,118.3745833,1.3574,1.3249,1.4172,0.7726,0.4115,1.8778,0.05,0.1014,0.4678,0.053,279.1,200.1,0.0604,109,92.9,0,0,0,0.238,0.1439,0,0.7004,0.434,0.7679,0.884,0.8878,1.3249,0.3699,141.0585,64.3696,50.0457,89.8995,39.9235,34.0472,28.7928,40.2203,44.5896,NA,NA,NA
LYC-21 LYC-21,2,343.5868329,6867.133219,113.8766667,114.1306667,57.57333333,78.06266667,80.4713656,0.684,0.5056,0.707,0.7874,0.5978,1.3172,0.0731,0.175,0.535,0.1044,257,256.7,0.1857,191,162.6,0.1079,0.0408,0,0.1621,0.3969,0,0.4361,0.4544,0.5907,0.8903,0.8903,0.5065,0.521,150.5474,68.5554,52.6652,95.6129,42.4798,35.9884,31.0496,40.7866,47.5315,3.2381,0.7023,0.1597
LYC-22 LYC-22,2,96.0920354,634.8231031,29.21,29.37933333,24.55333333,26.24666667,28.11565793,0.8934,0.8406,0.9569,0.7333,0.6638,1.1048,0.0278,0.046,0.5512,0.0516,234.4,202.6,0.0799,173.7,159.1,0.0012,0.0056,0,0.1248,0.0215,0,0.0429,0.4871,0.7508,0.8958,0.8889,0.8467,0.4362,128.0121,114.6622,63.4223,90.1302,51.6265,-3.081,35.5495,94.9533,35.6828,0.5014,0.5563,0.2519
LYC-23 LYC-23,2,123.0527469,1018.406565,38.1,38.77733333,30.56466667,32.512,33.8714588,0.8384,0.8022,0.889,0.7778,0.6,1.2963,0.0328,0.0585,0.5384,0.0326,222.9,198.3,0.039,172.1,157.4,0,0,0,0.213,0.0194,0,0.1179,0.4115,0.752,0.8889,0.8889,0.8,0.4268,77.8189,56.3255,40.0101,55.5117,27.0824,8.3324,14.9994,60.9473,17.1584,0.5115,0.6165,0.2127
LYC-24 LYC-24,2,118.4546103,909.0662822,26.50066667,26.50066667,40.55533333,41.99466667,42.4874944,1.5847,1.5304,1.6084,0.7572,0.5815,1.3022,0.0467,0.1453,0.5532,0.0292,214.5,146.6,0.0401,129.5,110.4,0,0,0,0.08,0.0125,0,0.0978,0.5363,0.7717,0.8904,0.8884,1.5403,0.4133,125.1477,70.8995,52.3222,83.4839,38.6247,23.3216,24.6125,46.5426,33.9068,0.8787,0.555,0.2532
LYC-25 LYC-25,2,102.2531949,728.4931667,27.77066667,28.02466667,31.15733333,32.17333333,33.1799184,1.148,1.122,1.1984,0.7134,0.622,1.1471,0.0273,0.0526,0.5343,0.0132,206.6,173.4,0.0141,166.9,141.9,0,0,0,0.1289,0.028,0,0.0521,0.4711,0.7757,0.8909,0.8882,1.1221,0.4047,119.0406,62.5877,45.4349,77.3842,35.467,25.1604,24.862,44.6582,35.3718,0.755,0.5552,0.2546
LYC-26 LYC-26,2,46.38049313,152.9889413,14.90133333,14.90133333,12.192,12.61533333,15.7492192,0.8466,0.8182,1.069,0.6932,0.6307,1.0991,0.0224,0.0535,0.5355,0.0168,201.6,175.4,0.0122,170.9,158.1,0,0,0,0.1205,0.0022,0,0.0142,0.4966,0.7703,0.8906,0.8837,0.8143,0.4127,88.6357,91.2831,55.0402,69.9865,40.0468,-8.3345,23.622,109.4344,25.0492,1.4879,0.5766,0.2361
LYC-27 LYC-27,2,78.68972493,430.6084578,20.91266667,21.16666667,25.06133333,25.48466667,26.1400798,1.204,1.1984,1.2197,0.6559,0.6154,1.0658,0.0234,0.0666,0.4873,0.0219,206.1,149.4,0.0323,162.4,135,0,0,0,0.0802,0.0415,0,0.0526,0.5017,0.7867,0.8906,0.8872,1.2041,0.3952,106.9189,51.5839,35.3758,66.9478,30.2822,25.6569,24.1917,43.3164,35.2635,0.4318,0.5557,0.252
LYC-28 LYC-28,2,81.77030467,465.2607182,24.13,24.29933333,22.94466667,23.79133333,24.70207573,0.9791,0.9509,1.0237,0.7123,0.6105,1.1667,0.0205,0.0205,0.5281,0.0249,214.7,175.6,0.029,161,147.2,0,0,0,0.1576,0.0241,0,0.05,0.452,0.7714,0.8852,0.8889,0.9558,0.4093,110.615,60.0059,43.4185,72.4559,33.3203,22.6896,22.7057,45.0204,32.0993,0.6244,0.5833,0.2304
LYC-29 LYC-29,2,75.39872313,399.8916733,22.94466667,23.114,21.25133333,21.67466667,22.1958154,0.9377,0.9262,0.9626,0.6863,0.5904,1.1625,0.0161,0.0271,0.5199,0.0156,199.9,169.1,0.0294,164.5,142.2,0,0,0,0.1409,0.0208,0,0.0343,0.4727,0.7843,0.8889,0.8889,0.9259,0.3918,98.8698,55.6204,37.5864,64.1988,30.1715,19.2957,21.969,48.7067,29.2397,0.6049,0.5531,0.2539
LYC-30 LYC-30,2,77.04598933,415.6909249,23.28333333,23.368,21.59,22.352,23.207472,0.9565,0.9273,0.9999,0.6691,0.6109,1.0952,0.0168,0.0194,0.521,0.0208,210.3,170.5,0.0374,159.2,148,0,0,0,0.1353,0.0168,0,0.0228,0.4508,0.7681,0.8899,0.8821,0.9266,0.4036,120.6009,100.9614,49.9548,80.2769,46.5617,0.6538,36.9053,88.9851,36.9111,0.5958,0.5529,0.2501
LYC-31 LYC-31,2,111.4793639,853.0377204,33.10466667,33.274,29.21,30.64933333,35.09158167,0.9211,0.8824,1.037,0.7442,0.6982,1.0659,0.0295,0.0383,0.5687,0.0499,240.4,174.266,0.0642,156.166,126.1,0.0033,0.0145,0,0.1522,0.0308,0,0.0479,0.4392,0.759,0.8896,0.8839,0.8782,0.4358,107.1028,58.4986,40.3682,69.4007,32.3138,21.627,23.3871,47.2393,31.8541,0.8859,0.5856,0.2313
LYC-32 LYC-32,2,123.0471504,822.8442324,21.082,25.48466667,46.39733333,46.482,47.09021147,1.8239,2.2008,2.2427,0.5743,0.9157,0.6272,0.0993,0.2436,0.4176,0,130.2,72.5,0,159.8,125.8,0,0,0.4059,0,0.0086,0.509,0,0.7031,0.7993,0.8921,0.8884,2.2121,0.4066,146.5141,134.7118,71.3694,102.5551,59.7936,-5.9697,42.2887,98.0351,42.7079,1.5905,0.5543,0.2525
LYC-33 LYC-33,2,51.4760464,178.2863818,16.59466667,16.764,11.938,13.29266667,15.54333527,0.7929,0.7194,0.9728,0.7296,0.6276,1.1626,0.0376,0.0875,0.5337,0.0575,245.5,208.6,0.0696,175.4,162.2,0,0,0,0.134,0.0252,0,0.034,0.4713,0.7179,0.8889,0.8889,0.7179,0.4483,96.8461,109.5556,59.5113,79.5742,46.9013,-15.6511,30.7525,116.9733,34.5061,1.0587,0.5496,0.2568
LYC-34 LYC-34,2,225.3665377,3387.699318,69.68066667,70.27333333,53.086,59.09733333,60.4578166,0.841,0.7618,0.8717,0.7837,0.6488,1.2079,0.0438,0.0738,0.5546,0.0646,225.8,229.3,0.1654,174.3,164.8,0.0019,0.0453,0,0.1726,0.117,0,0.2099,0.4441,0.7174,0.8897,0.8865,0.7622,0.4549,143.9842,61.3399,48.8365,90.7242,39.6729,37.1324,29.336,38.3101,47.3225,0.9062,0.6523,0.1909
LYC-35 LYC-35,2,214.2756277,2920.761184,68.74933333,68.74933333,43.60333333,51.47733333,54.2222944,0.7488,0.6342,0.7897,0.7857,0.7106,1.1057,0.0533,0.1186,0.5848,0.0823,260.2,230.1,0.1356,175.5,171.9,0,0,0,0.12,0.1051,0,0.1613,0.4819,0.6755,0.8894,0.8855,0.6327,0.4879,170.1289,97.4514,52.6401,104.8328,52.2769,27.4345,44.801,58.5183,52.5336,1.124,0.5591,0.2514
LYC-36 LYC-36,2,185.3586505,2349.53652,57.31933333,57.404,47.498,51.054,51.856005,0.8894,0.8287,0.906,0.7223,0.616,1.1727,0.0296,0.047,0.5322,0.0514,230.7,206.3,0.1438,157.1,148.4,0,0,0,0.1535,0.0803,0,0.1271,0.4577,0.7442,0.8889,0.8889,0.8296,0.4203,127.4999,70.9721,51.5269,84.2436,38.9956,24.2457,25.719,46.689,35.3457,0.8768,0.5885,0.2316
LYC-37 LYC-37,2,227.6836527,3265.376982,64.77,65.19333333,55.28733333,60.452,63.22219173,0.9273,0.8536,0.9761,0.8288,0.6196,1.3376,0.0438,0.0446,0.5714,0.0539,258.4,203.8,0.0584,169.8,155.8,0,0,0,0.2123,0.0204,0,0.2559,0.423,0.7293,0.8889,0.8844,0.8525,0.4531,139.5046,60.2334,47.3784,87.9381,38.4386,35.8074,28.3098,38.3303,45.6466,1.047,0.5594,0.2487
LYC-38 LYC-38,2,245.6566249,3961.045841,77.55466667,77.978,58.166,63.5,65.82393913,0.8143,0.75,0.857,0.7871,0.5437,1.4478,0.0358,0.08,0.5312,0.0482,244.2,208.8,0.0775,163.4,151.3,0,0,0,0.166,0.0762,0,0.2757,0.5,0.7316,0.8882,0.8867,0.7486,0.4298,137.3576,56.8533,45.2962,85.9357,37.3725,36.7002,28.2109,37.549,46.29,1.2373,0.5891,0.2309
LYC-39 LYC-39,2,213.4225179,2954.101619,68.326,68.41066667,47.244,53.594,55.0942764,0.7834,0.6914,0.8073,0.7683,0.6121,1.2551,0.0404,0.089,0.5498,0.0611,247.1,210.9,0.0788,148.466,168.8,0.0158,0.0049,0,0.1358,0.0732,0,0.1727,0.4961,0.7057,0.8902,0.8884,0.6925,0.4526,139.7976,53.9896,42.0402,85.5506,37.208,39.0627,30.4461,37.9334,49.5263,2.2905,0.5888,0.2306
LYC-40 LYC-40,2,224.7493685,3255.635066,69.088,69.76533333,50.46133333,57.48866667,60.5903538,0.824,0.7304,0.8876,0.8039,0.6091,1.3199,0.0479,0.0786,0.5461,0.0768,270.9,227.4,0.091,169.2,158.1,0.0152,0.0296,0,0.2156,0.1051,0,0.2473,0.4197,0.7021,0.8864,0.8881,0.7301,0.4633,164.8509,84.2961,66.6512,108.9163,48.5224,34.0478,30.3947,41.7555,45.6408,1.1935,0.5591,0.2504
LYC-41 LYC-41,2,205.3555456,2823.35636,64.516,65.10866667,49.022,52.49333333,54.2145474,0.8062,0.7598,0.8383,0.7822,0.6457,1.2114,0.0375,0.074,0.5587,0.0436,236.8,202.5,0.0709,175.4,165.9,0,0,0,0.1696,0.0858,0,0.1621,0.4532,0.7464,0.8902,0.8868,0.7599,0.4399,147.2656,62.0464,43.8597,89.9318,40.2163,37.8546,33.684,41.6635,50.6713,1.0523,0.5597,0.2509
LYC-42 LYC-42,2,232.9659891,3627.010667,69.342,69.51133333,57.57333333,63.5,63.43103053,0.9135,0.8303,0.9145,0.7448,0.7009,1.0627,0.0379,0.0498,0.5793,0.05,233,210.1,0.0919,188.6,172.3,0.0649,0.032,0,0.069,0.0894,0,0.1131,0.54,0.7263,0.8903,0.8889,0.8318,0.4477,144.3457,64.6604,46.3605,89.7361,40.2976,35.2284,31.8836,42.1468,47.5143,1.6783,0.6368,0.2011
LYC-43 LYC-43,2,169.3741003,1982.770228,50.37666667,50.46133333,45.80466667,48.17533333,48.23278813,0.9547,0.9092,0.9574,0.7076,0.6487,1.0907,0.0231,0.0271,0.546,0.031,210.9,190.9,0.0603,176.8,158.9,0,0,0,0.086,0.0501,0,0.0657,0.5132,0.7606,0.8889,0.8889,0.9114,0.4186,156.2845,73.711,56.4599,100.1079,44.568,35.7967,31.2918,41.1584,47.5456,1.7367,0.5888,0.2302
LYC-45 LYC-45,2,194.7446194,2607.392635,60.11333333,60.28266667,49.53,52.324,53.55584073,0.868,0.8239,0.8922,0.738,0.6634,1.1125,0.0273,0.0516,0.5496,0.0364,230.5,189.3,0.059,169.9,165.4,0,0,0,0.108,0.0558,0,0.0821,0.5146,0.7553,0.8893,0.8859,0.8204,0.4285,139.7572,54.2192,38.4977,83.8674,37.1635,38.6976,32.9833,40.4421,50.8469,0.8818,0.6038,0.2214
LYC-46 LYC-46,2,193.8047771,2502.360587,47.66733333,49.022,60.706,63.41533333,64.097535,1.2936,1.2735,1.3471,0.7869,0.6004,1.3107,0.043,0.0943,0.5146,0.0361,220.6,168.9,0.0589,151.3,129.9,0,0,0,0.2458,0.0921,0,0.2552,0.3778,0.7647,0.8854,0.8868,1.2768,0.4234,145.5893,70.7369,52.1571,93.0309,41.9847,32.5858,30.2926,42.9113,44.4913,1.5356,0.5782,0.2718
LYC-47 LYC-47,2,206.8019232,2870.818631,52.40866667,52.832,64.68533333,68.072,68.70970933,1.2885,1.2342,1.3132,0.7254,0.5897,1.2301,0.0346,0.0858,0.5087,0.0299,211.4,159.3,0.046,164.2,137.7,0,0,0,0.1923,0.1123,0,0.1894,0.4341,0.7597,0.8892,0.8879,1.2348,0.409,150.277,62.5155,45.8715,92.2916,40.864,38.9452,33.3394,40.5655,51.2664,1.1261,0.5586,0.2517
LYC-48 LYC-48,2,178.3352711,2204.561899,46.99,47.41333333,55.118,57.404,57.7655944,1.2107,1.173,1.2315,0.6883,0.6216,1.1072,0.0281,0.0639,0.5199,0.028,222.1,160.3,0.0502,157.4,135,0,0,0,0.0962,0.0829,0,0.106,0.4956,0.7681,0.8889,0.8889,1.1765,0.413,150.7912,67.9696,48.8647,93.9429,42.2469,36.2515,33.3142,42.5822,49.2342,0.5397,0.5139,0.281
LYC-49 LYC-49,2,173.4777243,2022.820327,44.87333333,45.212,53.848,56.388,57.0379606,1.2472,1.2,1.2735,0.7623,0.4962,1.5361,0.0332,0.0707,0.5051,0.027,237,170,0.0374,136.9,123.2,0,0,0,0.2113,0.055,0,0.242,0.4294,0.7639,0.8897,0.8881,1.1981,0.4005,156.9301,75.6282,57.0113,100.6696,45.1737,34.9643,31.8376,42.3202,47.2878,1.8779,0.5948,0.25
LYC-50 LYC-50,2,187.9001068,2244.382608,45.04266667,46.05866667,55.79533333,58.928,60.11012447,1.2794,1.2387,1.3438,0.8026,0.6485,1.2377,0.0446,0.091,0.536,0.0286,239.6,175.3,0.0459,160,131.5,0,0,0,0.199,0.145,0,0.1856,0.4098,0.7453,0.8885,0.8721,1.216,0.4464,159.0059,85.931,46.6798,96.7927,47.6625,29.0229,42.0655,55.3965,51.1062,1.5058,0.5231,0.2786
LYC-51 LYC-51,2,209.0213075,2922.359747,56.04933333,56.55733333,60.198,64.17733333,73.78617873,1.1347,1.074,1.2865,0.6647,0.6616,1.0046,0.0329,0.053,0.517,0,152.4,132.1,0,155.8,132.7,0,0,0.0591,0,NA,NA,0,0.4361,0.7847,0.8986,0.9195,1.125,0.3958,157.7476,77.7473,61.0205,102.9336,45.7445,34.4587,29.8265,40.8786,45.5744,1.2262,0.5285,0.2698
LYC-52 LYC-52,2,177.7260098,1928.777504,36.91466667,37.16866667,66.46333333,67.14066667,67.27587087,1.8064,1.8005,1.8266,0.6674,0.5734,1.164,0.049,0.1923,0.4611,0.0108,244,118.2,0.0168,125.8,100.6,0,0,0,0.1032,0.0927,0,0.1575,0.5069,0.7904,0.8892,0.8854,1.7989,0.3641,110.6492,50.9428,42.3724,71.9309,31.0869,28.4009,20.2216,35.451,34.8644,2.0381,0.5267,0.2711
LYC-53 LYC-53,2,188.9903764,2321.572418,56.81133333,59.182,45.38133333,50.8,52.1297662,0.8584,0.7988,0.9245,0.8256,0.5186,1.592,0.0608,0.0752,0.5056,0.0875,260.7,225.5,0.1875,163.5,133.9,0,0,0,0.286,0.115,0,0.3428,0.36,0.7145,0.8898,0.8898,0.7985,0.4437,151.6146,86.6317,69.1284,103.8506,47.1401,27.2044,26.2659,43.9945,37.815,1.0475,0.7512,0.1309
LYC-54 LYC-54,2,231.6934999,3437.18309,75.438,75.692,49.022,55.20266667,55.84531207,0.7293,0.6498,0.7453,0.7262,0.7172,1.0125,0.0468,0.1139,0.5737,0.0868,230.7,227.7,0.1775,184.7,172.9,0.0054,0.0061,0,0.0968,0.064,0,0.1023,0.4923,0.7097,0.8902,0.8868,0.6489,0.4612,138.9336,79.9036,62.58,94.8244,43.4459,24.8037,24.5983,44.7618,34.9328,3.8825,0.7532,0.1299
LYC-55 LYC-55,2,220.7314441,3223.398571,58.928,60.11333333,62.738,68.072,68.79424053,1.1324,1.0647,1.1708,0.7543,0.5761,1.3092,0.0451,0.0644,0.4979,0.0642,273.4,200.5,0.1016,164.8,134.4,0,0,0,0.2234,0.1316,0,0.3142,0.3818,0.7372,0.8862,0.8889,1.0647,0.4251,137.8116,77.0531,62.234,94.1563,42.7376,26.1224,24.0928,42.6855,35.5365,1.5349,0.588,0.2324
LYC-56 LYC-56,2,269.4771852,4552.714909,68.49533333,69.42666667,80.518,88.98466667,88.75312873,1.2817,1.1755,1.2974,0.7713,0.3609,2.137,0.0555,0.0862,0.4859,0.0613,237,236.4,0.1732,95.6,99.9,0.0026,0.2138,0,0.2078,0.1769,0,0.5467,0.4615,0.7238,0.891,0.8899,1.1765,0.3929,143.8309,75.9445,59.8501,95.8963,43.2946,29.325,26.7358,42.3556,39.6833,NA,NA,NA
