Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-98 LYC-98,1,208.1956127,2831.248818,57.15,57.48866667,53.34,58.75866667,59.60218373,1.0221,0.9333,1.0285,0.8193,0.6904,1.1867,0.0481,0.0508,0.601,0.0693,252.8,217.2,0.1506,170.1,160.7,0,0,0,0.1528,0.071,0,0.1818,0.4654,0.7273,0.8889,0.8873,0.9368,0.4608,143.2866,74.4752,58.5274,94.9419,42.5807,29.8434,26.5245,41.6304,39.9272,1.132,0.5589,0.25
LYC-99 LYC-99,1,269.1669665,4503.094936,88.47666667,88.81533333,50.8,64.09266667,62.1341404,0.7216,0.5742,0.7029,0.7512,0.644,1.1664,0.0602,0.1398,0.5592,0.1152,249.6,232.7,0.2373,198.4,190.3,0.1346,0.0382,0,0.1552,0.2884,0,0.1707,0.4531,0.6349,0.8939,0.8889,0.5755,0.4995,143.0826,71.192,61.8216,96.3199,41.8842,32.1687,23.2467,35.8537,39.6892,0.9692,0.7175,0.152
LYC-100 LYC-100,1,163.9519031,1864.713116,46.56666667,46.82066667,47.58266667,49.276,50.28447313,1.0524,1.0218,1.0882,0.72,0.6073,1.1856,0.0249,0.0357,0.5069,0.0363,236.3,182,0.055,167.5,146.7,0,0,0,0.1342,0.0877,0,0.1138,0.4725,0.7711,0.8889,0.8871,1.0182,0.4048,140.2983,79.1004,63.2577,95.7535,43.4249,26.1617,24.3778,42.9784,35.759,1.085,0.558,0.2514
LYC-101 LYC-101,1,246.1965951,4200.507728,70.44266667,70.612,70.01933333,73.23666667,72.75305067,1.0372,0.994,1.0365,0.7284,0.6202,1.1744,0.027,0.0338,0.5292,0.0266,214.3,175.9,0.0559,171.6,147.8,0,0,0,0.1349,0.1111,0,0.156,0.4751,0.7639,0.8895,0.8871,0.994,0.4126,140.9362,62.9276,54.2683,91.7446,39.5517,35.43,24.9295,35.1313,43.3216,0.8054,0.5884,0.2321
LYC-102 LYC-102,1,253.6889601,3986.465145,82.97333333,83.48133333,51.054,59.60533333,61.47182693,0.714,0.6153,0.7506,0.7724,0.648,1.1921,0.0548,0.1323,0.5611,0.0949,241.1,241.5,0.1853,176.8,171.2,0,0,0,0.1467,0.1311,0,0.2157,0.4872,0.6828,0.8889,0.8872,0.6122,0.4685,131.2853,60.1786,51.8844,86.0939,37.1536,32.7056,22.9351,35.0404,39.9459,0.8043,0.6047,0.2205
LYC-103 LYC-103,1,269.3099177,4242.256748,73.32133333,75.946,62.90733333,76.11533333,79.49146747,1.0022,0.858,1.0755,0.7968,0.4607,1.7293,0.0841,0.0873,0.4798,0.123,270.8,291.6,0.2308,149.3,120.2,0,0,0,0.2853,0.0555,0,0.6133,0.3793,0.6592,0.8889,0.8862,0.8555,0.4563,125.084,60.8545,48.7959,81.761,36.1369,29.2926,23.3501,38.5596,37.4604,2.5928,0.702,0.1598
LYC-104 LYC-104,1,250.5226807,3726.888604,80.518,81.19533333,47.15933333,57.82733333,60.78963373,0.7122,0.5857,0.751,0.796,0.5626,1.415,0.0645,0.1454,0.5632,0.0842,266.3,262.3,0.1635,200.2,167.3,0.0521,0.0187,0,0.2135,0.1023,0,0.2814,0.4348,0.651,0.8898,0.8862,0.5842,0.4902,104.7421,104.5565,70.8856,83.6253,46.1623,-6.9715,22.2158,107.4222,23.284,0.9241,0.7179,0.1517
LYC-105 LYC-105,1,142.6804529,1389.12267,39.878,40.132,39.878,42.418,43.74879913,1.057,1,1.0994,0.7537,0.6221,1.2116,0.0324,0.0407,0.5394,0.045,241.3,165,0.0748,170.2,154.4,0,0,0,0.1943,0.0418,0,0.1203,0.4132,0.752,0.8868,0.8889,1,0.427,134.3335,72.2639,57.2532,90.1299,40.6023,27.224,24.3225,41.7782,36.5065,0.6061,0.557,0.2535
LYC-106 LYC-106,1,312.3801559,5682.139173,102.0233333,102.4466667,54.356,68.58,69.26410667,0.6694,0.5328,0.6747,0.8025,0.6697,1.1983,0.0716,0.1712,0.5764,0.1476,264.6,261.4,0.3035,192.5,164.95,0.0231,0.0159,0,0.1567,0.2585,0,0.2612,0.484,0.6329,0.8904,0.8858,0.5322,0.512,124.9332,80.0136,62.9145,88.3963,41.3498,18.4744,21.1251,48.8296,28.0637,1.7231,0.7185,0.1505
LYC-107 LYC-107,1,275.7128683,4622.764948,82.55,83.14266667,58.08133333,69.42666667,71.54807467,0.835,0.7036,0.8658,0.7733,0.6605,1.1708,0.0576,0.0991,0.5616,0.0898,290.3,236.1,0.0874,206.2,169.1,0.066,0.0075,0,0.1579,0.2206,0,0.2513,0.4268,0.6691,0.8969,0.8867,0.7044,0.4808,124.8183,58.5633,45.5196,80.1417,35.4656,30.3127,24.8988,39.3996,39.2276,1.1372,0.7181,0.151
