Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-11,3,143.5682083,1354.735642,45.12733333,45.466,33.18933333,37.25333333,38.2392936,0.8194,0.7355,0.849,0.743,0.6229,1.1928,0.0409,0.0863,0.5372,0.0763,251.6,224.2,0.1707,171.633,160.8,0.0017,0.0112,0,0.1431,0.0837,0,0.1207,0.4659,0.7107,0.8889,0.8864,0.7358,0.4502,117.5518,55.7518,39.0663,73.6946,33.4062,28.2271,26.4168,43.1025,38.6603,0.5662,0.5874,0.2321
LYC-12,3,136.5618469,1229.53876,34.96733333,35.47533333,39.20066667,42.58733333,43.9949336,1.2005,1.1211,1.2582,0.77,0.6441,1.1955,0.0433,0.0747,0.5496,0.0478,273.2,168.3,0.0578,169.6,138.1,0,0,0,0.2015,0.0478,0,0.1393,0.4056,0.7331,0.8889,0.8846,1.122,0.4473,131.4097,62.1992,47.3526,84.0785,37.338,31.1411,26.502,40.3987,40.8916,0.8945,0.5573,0.25
LYC-13,3,186.084972,2327.608248,48.17533333,49.10666667,54.01733333,56.642,58.07343393,1.1534,1.1213,1.2055,0.7645,0.7065,1.0821,0.035,0.0631,0.5672,0.0277,224.1,184.266,0.0286,167.6,158.7,0,0,0,0.0575,0.0378,0,0.0744,0.568,0.7635,0.8901,0.8885,1.1233,0.4399,133.783,71.1444,51.4365,87.1396,40.1357,27.0402,27.999,45.998,38.9245,1.1598,0.5582,0.2519
LYC-14,3,267.7641669,4678.922542,83.48133333,84.49733333,62.90733333,68.24133333,68.34848747,0.8076,0.7535,0.8205,0.788,0.6176,1.2759,0.0374,0.079,0.551,0.0646,242.3,207.9,0.1787,176.1,161.3,0,0,0,0.2048,0.0551,0,0.2675,0.4094,0.7354,0.8889,0.8862,0.7513,0.4387,146.0819,59.3348,45.2082,90.0035,39.5627,38.893,31.7673,39.2415,50.2178,1.1434,0.5892,0.2311
LYC-15,3,169.8785697,1992.433291,47.66733333,48.09066667,47.83666667,50.46133333,51.13176633,1.0493,1.0036,1.0746,0.7762,0.6199,1.2521,0.0326,0.0393,0.5567,0.0369,230.4,189.1,0.0561,173.8,152.4,0,0,0,0.203,0.0311,0,0.1501,0.4044,0.7563,0.8893,0.8876,1.0045,0.4303,121.92,64.0241,47.9108,79.8722,36.2607,25.8485,24.5592,43.5349,35.6553,0.934,0.5581,0.2509
LYC-16,3,178.921918,2209.522463,51.22333333,51.816,50.20733333,52.66266667,53.42200813,1.0163,0.9802,1.0464,0.7702,0.6033,1.2767,0.0345,0.0361,0.5391,0.0249,223.5,188.3,0.0441,167.9,148.6,0,0,0,0.2006,0.0502,0,0.1723,0.3955,0.7601,0.8906,0.8856,0.9793,0.4203,100.0049,50.983,40.0552,65.8545,29.1572,23.0802,18.7817,39.1373,29.7564,.,.,.
LYC-17,3,271.9012257,4027.647859,91.44,91.77866667,40.55533333,54.102,57.43835773,0.5895,0.4435,0.6438,0.8389,0.7565,1.1089,0.0888,0.2148,0.6515,0.1739,255.8,269.8,0.5054,0,176.2,0.0003,0.0021,0,0.1064,0.1206,0,0.2634,0.5164,0.5987,0.8904,0.8863,0.4421,0.5386,128.1503,62.4872,44.1103,81.0461,37.0288,29.1163,28.3022,44.1877,40.6051,2.2762,0.7067,0.1697
LYC-18,3,189.0273334,2388.991638,54.69466667,55.28733333,50.88466667,53.42466667,54.0140652,0.9663,0.9303,0.9906,0.7663,0.5975,1.2824,0.0308,0.032,0.5257,0.0301,245,192.4,0.0675,162.8,151.8,0,0,0,0.1948,0.0867,0,0.1823,0.4263,0.7619,0.8889,0.8889,0.9302,0.4163,131.1083,69.0946,50.1288,85.2613,38.9588,26.9825,26.8419,44.8503,38.0597,1.4297,0.5586,0.2504
LYC-19,3,172.2633334,2003.852623,52.15466667,52.832,43.18,47.244,49.38520307,0.8942,0.8279,0.9469,0.7695,0.586,1.313,0.0336,0.0481,0.5327,0.0466,245.3,206.4,0.0543,164.4,153.6,0,0,0,0.2141,0.0357,0,0.1784,0.4068,0.7325,0.8928,0.8889,0.8293,0.436,122.1145,61.5107,40.5626,76.5558,35.6565,26.8486,28.5599,46.769,39.1984,0.7993,0.5585,0.2512
LYC-20,3,343.0483191,7410.529982,94.14933333,94.82666667,88.22266667,100.076,102.8257447,1.0554,0.9371,1.0922,0.8363,0.4802,1.7416,0.0626,0.0662,0.5177,0.0783,286.2,243.7,0.1498,148.6,116.6,0.0157,0.0049,0,0.2277,0.1037,0,0.6629,0.4416,0.7045,0.8879,0.8879,0.9369,0.4387,135.1363,53.2503,43.8703,84.201,36.2487,37.609,27.6517,36.3249,46.6804,.,.,.
LYC-21,3,279.5479635,4701.653679,86.44466667,87.29133333,56.30333333,69.25733333,68.59967653,0.7934,0.6513,0.7886,0.762,0.6298,1.21,0.0555,0.1174,0.5227,0.1235,277.5,251,0.3441,175.8,160.1,0,0,0,0.1362,0.3147,0,0.3385,0.4694,0.6487,0.8893,0.8863,0.6495,0.4821,134.978,62.2261,50.7058,87.3585,38.293,32.8921,25.6984,38.0003,41.7409,2.2957,0.6879,0.1656
LYC-22,3,109.8462031,833.675752,31.496,31.66533333,30.734,32.68133333,33.8866988,1.0321,0.9758,1.0788,0.6801,0.6371,1.0675,0.02,0.0237,0.5307,0.0415,229.2,182.400,0.0572,164.2,151.4,0,0,0,0.1389,0.0402,0,0.0362,0.4508,0.7481,0.8889,0.8834,0.973,0.4243,118.0601,106.2034,59.1447,83.411,47.8272,-2.9727,32.876,95.1667,33.0102,0.6991,0.5556,0.2507
LYC-23,3,106.1669454,753.9913236,31.66533333,31.91933333,29.464,30.31066667,30.95906093,0.9496,0.9305,0.9803,0.6925,0.5668,1.2217,0.0215,0.0267,0.5062,0.0255,207.7,179.1,0.0573,160.7,146.9,0,0,0,0.1642,0.036,0,0.0738,0.4475,0.7731,0.8846,0.8846,0.9324,0.39,74.5329,53.0705,39.922,53.9607,25.6886,9.0682,12.7666,54.6134,15.6594,0.6323,0.5564,0.2506
LYC-24,3,112.5329305,850.8155027,27.178,27.178,38.26933333,38.77733333,39.27369167,1.4268,1.4081,1.4495,0.6667,0.648,1.0288,0.0354,0.1133,0.5396,0.0164,203.133,149.3,0.0103,149.5,128.5,0,0,0.1281,0,0.0467,0.0403,0,0.5153,0.7877,0.8889,0.8867,1.4063,0.3902,123.6166,66.7487,46.5019,80.0487,37.1495,24.6941,26.5264,47.0488,36.2415,0.8126,0.6142,0.215
LYC-25,3,103.9004526,744.3927764,28.02466667,28.10933333,32.34266667,32.85066667,33.36710793,1.1687,1.1541,1.1942,0.6647,0.6465,1.028,0.0246,0.0539,0.5262,0.0221,196.4,164.5,0.0391,168.5,142.4,0,0,0.1438,0,0.0262,0.0387,0,0.5438,0.7855,0.8889,0.8863,1.1515,0.393,121.1726,65.0826,48.128,79.6621,36.4177,24.8123,24.3285,44.4359,34.7495,1.0071,0.5552,0.254
LYC-26,3,53.07019273,196.0497871,16.51,16.51,14.05466667,14.64733333,16.16560987,0.8872,0.8513,0.9841,0.7077,0.6205,1.1405,0.0226,0.0469,0.5323,0.0471,254.3,170.516,0.0665,173,157.4,0.0044,0.0135,0,0.1179,0.014,0,0.0279,0.474,0.7674,0.8859,0.8859,0.8571,0.4162,89.5182,88.082,54.5871,68.749,39.1343,-5.8595,22.5129,104.5889,23.2629,1.269,0.6259,0.2041
LYC-27,3,72.78506313,371.4902964,19.558,19.72733333,22.69066667,23.368,24.11807047,1.1845,1.1602,1.2385,0.7056,0.6061,1.1643,0.0257,0.056,0.5246,0.0127,203.4,165.6,0.0176,152.3,128.9,0,0,0,0.1566,0.0186,0,0.0399,0.4312,0.7782,0.8917,0.888,1.163,0.4032,111.8961,54.1316,36.385,69.7725,31.8366,26.4579,25.9027,44.3926,37.0266,0.8659,0.5524,0.2542
LYC-28,3,85.91647367,523.998952,24.72266667,24.97666667,25.73866667,26.162,27.64347193,1.0475,1.0411,1.122,0.6918,0.5822,1.1882,0.0184,0.0247,0.5095,0.0081,206.533,165.9,0.0218,168.4,145.4,0,0,0,0.1741,0.0208,0,0.0514,0.4239,0.7857,0.8897,0.8832,1.0431,0.3968,111.8303,60.9007,43.7479,73.1931,33.716,22.6387,23.0557,45.5228,32.3122,.,.,.
LYC-29,3,74.1142028,378.9454787,22.606,22.69066667,20.48933333,21.16666667,22.1593664,0.9328,0.9064,0.9839,0.6667,0.618,1.0788,0.0209,0.0291,0.5191,0.0204,218.6,173.6,0.0439,169.8,154.8,0,0,0,0.1071,0.0325,0,0.0308,0.504,0.7711,0.8889,0.8848,0.9057,0.3953,98.5087,51.4099,36.6947,63.6079,29.0502,21.7759,21.0133,43.979,30.2613,.,.,.
LYC-30,3,64.31487433,293.87038,19.47333333,19.558,18.288,18.796,20.37193453,0.961,0.9391,1.0507,0.687,0.5739,1.197,0.018,0.0218,0.5181,0.023,216,166.2,0.0371,165.3,142.7,0,0,0,0.1453,0.0115,0,0.0303,0.4685,0.7783,0.8912,0.8866,0.9348,0.3937,118.0845,100.4149,52.2409,80.2408,46.1444,0.0119,34.8202,89.9804,34.8202,0.788,0.5528,0.2541
LYC-31,3,106.3993639,777.2385889,32.59666667,32.68133333,27.77066667,28.956,29.4526462,0.886,0.8519,0.9059,0.7429,0.6442,1.1532,0.0249,0.0446,0.5541,0.019,213.5,186.9,0.0282,185,162.8,0,0,0,0.1391,0.0331,0,0.0515,0.4678,0.7683,0.8912,0.8881,0.8562,0.4193,101.7498,52.7055,38.4643,65.967,29.8575,22.7362,21.0396,42.7805,30.9774,0.6343,0.5841,0.2337
LYC-32,3,118.8910077,825.0521133,23.53733333,26.83933333,43.51866667,43.688,44.30879293,1.6278,1.8489,1.8824,0.5072,0.8201,0.6184,0.0815,0.1954,0.3879,0,130.9,80.3,0,162.9,134.8,0,0,0.3577,0,0.06,0.4069,0,0.6783,0.7961,0.8874,0.8874,1.8468,0.3789,140.3275,130.3889,65.7079,97.0114,57.7018,-6.8143,42.941,99.0171,43.4784,1.9225,0.5842,0.2309
LYC-33,3,56.73741933,224.5371853,18.37266667,18.45733333,14.56266667,14.986,17.75179753,0.8119,0.7926,0.9662,0.7143,0.6313,1.1314,0.0267,0.0694,0.5377,0.0141,194.8,189.1,0.069,166.7,158.3,0,0,0,0.1202,0.0223,0,0.0276,0.4915,0.7727,0.8889,0.8831,0.7907,0.4135,89.8783,95.0121,53.4237,70.746,41.457,-10.4543,26.7818,111.3232,28.7499,2.6929,0.5513,0.2536
LYC-34,3,285.5092757,5119.889402,83.48133333,86.106,64.77,75.184,76.3217676,0.8732,0.7759,0.9115,0.8469,0.5487,1.5434,0.0591,0.0791,0.5415,0.1065,274.1,241.7,0.2292,165.6,147.4,0,0,0,0.284,0.1218,0,0.462,0.3547,0.6877,0.8892,0.8866,0.7741,0.4714,147.3757,70.1536,52.4387,94.0171,42.2181,33.6855,30.5735,42.2274,45.4912,0.8749,0.574,0.2423
LYC-35,3,180.7795978,2225.909527,57.57333333,57.912,44.02666667,47.244,47.88165007,0.8158,0.7647,0.8329,0.7132,0.6588,1.0826,0.0316,0.0714,0.5385,0.0466,253.2,186.6,0.0786,172.8,163.6,0.0099,0.0049,0,0.1264,0.0892,0,0.0594,0.4713,0.7469,0.8908,0.8889,0.7647,0.4276,164.9224,93.7944,49.0762,100.7052,50.4725,27.0329,44.4081,58.6695,51.989,0.8596,0.5893,0.2306
LYC-36,3,162.177857,1780.942675,47.58266667,48.006,43.434,45.72,46.04528087,0.9524,0.9128,0.9694,0.6975,0.6673,1.0453,0.0238,0.0276,0.55,0.0343,232.4,185.5,0.0702,173.5,152.3,0,0,0,0.0752,0.0405,0,0.0546,0.5426,0.757,0.8889,0.885,0.9107,0.4222,117.8374,57.2514,42.5719,75.4839,33.8348,27.6459,24.3805,41.4086,36.8607,1.8857,0.5589,0.2519
LYC-37,3,242.4928433,3706.429863,72.47466667,73.32133333,53.42466667,62.65333333,64.06315187,0.8545,0.7371,0.8829,0.7699,0.6647,1.1582,0.0453,0.0766,0.5504,0.0818,281.9,226.8,0.1106,177,166.2,0,0,0,0.1642,0.158,0,0.2189,0.4351,0.682,0.8889,0.8889,0.7368,0.4763,142.1426,65.8779,49.8404,90.3423,40.1571,33.7747,29.2362,40.8803,44.6708,1.5358,0.5591,0.2496
LYC-38,3,223.5540699,3356.416226,68.15666667,69.42666667,58.58933333,61.55266667,62.79023933,0.8866,0.8596,0.9201,0.7801,0.4783,1.6312,0.0383,0.0512,0.5181,0.0392,222.8,191.4,0.0506,148.3,131.8,0,0,0,0.2585,0.0337,0,0.3487,0.4099,0.7603,0.8875,0.8889,0.8598,0.4056,138.1392,54.0703,43.3662,85.3974,36.9099,38.4909,28.9857,36.9817,48.1842,1.6822,0.5896,0.2316
LYC-39,3,249.2161471,4097.310802,76.36933333,77.47,60.706,67.14066667,68.33149487,0.8667,0.7949,0.8944,0.816,0.4945,1.6502,0.0486,0.0705,0.5161,0.0763,248.2,215.3,0.1601,133.4,131.2,0,0,0,0.2533,0.1264,0,0.4139,0.4023,0.7222,0.8896,0.8868,0.7944,0.4341,139.3707,58.4783,43.0083,85.8144,37.9484,36.4692,30.8223,40.2032,47.7495,0.6303,0.6202,0.2113
LYC-40,3,242.6922587,3822.38662,75.184,76.03066667,54.102,61.722,64.7932918,0.8118,0.7196,0.8548,0.7939,0.6318,1.2567,0.0453,0.0834,0.5639,0.0761,246.4,226.7,0.1064,169.5,163.5,0.0131,0.0551,0,0.177,0.0595,0,0.2469,0.4609,0.7005,0.8901,0.8885,0.7183,0.4667,156.8045,74.0633,55.8245,100.0541,44.7511,35.7724,32.1115,41.9131,48.0709,1.1108,0.5642,0.251
LYC-41,3,255.0942489,4028.293019,78.14733333,78.486,55.118,62.39933333,66.18613467,0.795,0.7053,0.8479,0.7497,0.6923,1.0829,0.0445,0.091,0.5712,0.0747,247.6,223.9,0.1387,176.4,170.9,0.0137,0.0177,0,0.1379,0.0718,0,0.1415,0.4627,0.7065,0.8874,0.8889,0.7065,0.4651,151.8062,68.4023,50.5924,95.2374,42.489,36.5731,32.5521,41.6709,48.9615,1.3601,0.5595,0.2506
LYC-42,3,285.1600342,5115.093712,91.10133333,91.948,58.75866667,68.58,69.52042653,0.7459,0.645,0.7651,0.7881,0.6664,1.1827,0.0516,0.1133,0.5624,0.1062,249.1,236.1,0.2598,193.2,173.3,0.0092,0.0046,0,0.1444,0.1266,0,0.2669,0.4778,0.6848,0.8892,0.8878,0.6442,0.4756,137.455,54.1109,39.5027,83.2705,36.7422,37.8231,31.5787,39.8587,49.2727,2.1461,0.6857,0.1697
LYC-43,3,178.5697555,2184.088822,53.76333333,53.93266667,48.26,50.546,53.9847282,0.9372,0.8976,1.0023,0.7071,0.6031,1.1723,0.0222,0.0289,0.5289,0.0278,224.6,172.833,0.0331,159.5,140.2,0,0,0,0.1368,0.0422,0,0.1144,0.459,0.7651,0.8906,0.8889,0.9012,0.4052,144.4987,63.2968,44.7624,89.0483,39.979,36.0458,32.6074,42.1328,48.606,1.637,0.6118,0.2309
LYC-44,3,215.6989759,3138.617379,67.31,67.39466667,52.66266667,56.55733333,58.3653138,0.8392,0.7824,0.8682,0.7421,0.6503,1.1412,0.0318,0.0654,0.5612,0.0427,268.4,201.4,0.0708,175.3,166,0,0,0,0.1422,0.0493,0,0.1048,0.4626,0.7436,0.8889,0.8873,0.7823,0.4359,150.0161,67.9839,50.9462,94.5529,42.3091,35.9362,31.9221,41.6147,48.067,0.9467,0.5934,0.231
LYC-45,3,198.4284322,2665.887141,60.452,60.87533333,49.86866667,54.356,54.76337367,0.8929,0.8249,0.9072,0.7283,0.6176,1.1791,0.0276,0.0547,0.5021,0.053,237.3,204.3,0.0954,166.5,156.6,0,0,0,0.1067,0.1798,0,0.1773,0.5078,0.7332,0.8918,0.8868,0.8246,0.4342,148.5151,65.1813,49.1956,93.0216,41.2126,36.8807,31.6705,40.6536,48.6128,1.4016,0.5883,0.2317
LYC-46,3,174.4526356,2057.142839,44.11133333,44.61933333,56.896,58.33533333,59.05279867,1.3074,1.2898,1.333,0.714,0.5547,1.2872,0.0351,0.0867,0.4966,0.0277,223.4,157.5,0.0522,143.9,124.4,0,0,0,0.1942,0.0694,0,0.1865,0.418,0.7791,0.8874,0.886,1.2885,0.3897,154.7403,62.7874,44.9642,93.9729,41.8335,40.5391,35.5081,41.2151,53.8911,1.0287,0.5277,0.2721
LYC-47,3,194.3999329,2548.338989,50.038,50.20733333,60.36733333,61.976,62.26721947,1.2344,1.2064,1.2465,0.709,0.6294,1.1263,0.0305,0.0698,0.5437,0.0192,201.2,162.6,0.0358,166.8,142,0,0,0,0.134,0.0695,0,0.0893,0.4809,0.777,0.8875,0.8861,1.2034,0.4077,150.7821,64.6817,47.3412,93.2254,41.4537,38.0129,33.1602,41.0996,50.4438,0.5588,0.5136,0.2823
LYC-48,3,174.2472004,2082.296911,45.80466667,46.56666667,53.17066667,55.20266667,56.472328,1.1855,1.1608,1.2352,0.7153,0.6396,1.1185,0.0299,0.0664,0.5212,0.0246,216.6,162.4,0.036,172.8,142.1,0,0,0,0.1207,0.0906,0,0.1179,0.4755,0.7711,0.8901,0.8901,1.162,0.4136,143.8487,61.0322,43.4885,88.149,39.3741,36.9005,32.6855,41.5336,49.2949,1.7311,0.5281,0.2713
LYC-49,3,181.1869461,2205.314586,45.80466667,45.974,58.75866667,60.706,61.27837207,1.3204,1.2828,1.3161,0.7338,0.4843,1.5153,0.0319,0.0839,0.4932,0.0279,217.4,160.6,0.0427,132.4,126.4,0.0009,0.0346,0,0.1458,0.0771,0,0.2148,0.5174,0.7737,0.8892,0.8878,1.2824,0.389,141.5663,63.8987,47.7081,89.0431,39.646,34.5837,29.9505,40.8936,45.75,1.4986,0.565,0.2704
LYC-50,3,192.4069558,2438.991538,46.482,46.82066667,59.69,62.06066667,62.92502867,1.3255,1.2842,1.3562,0.816,0.643,1.2691,0.0451,0.0984,0.57,0.0342,235.7,176.5,0.0616,156.2,135.9,0,0,0,0.0705,0.043,0,0.1756,0.5825,0.7678,0.8906,0.8864,1.2831,0.4318,170.197,95.8659,55.5903,106.2554,51.9195,28.7205,42.6408,56.038,51.4111,1.0099,0.514,0.2799
LYC-51,3,193.4250217,2543.571974,51.22333333,52.07,56.47266667,59.60533333,60.26057713,1.1447,1.1025,1.1784,0.8,0.595,1.3444,0.0416,0.0635,0.5503,0.0455,240.3,168.7,0.0829,169,136.8,0,0,0,0.2335,0.0257,0,0.2448,0.4006,0.7568,0.8896,0.8867,1.1037,0.4324,148.4194,69.3046,53.2162,94.8766,42.0679,34.7967,29.8013,40.578,45.8141,0.6065,0.5288,0.2723
LYC-52,3,170.9095219,1795.508954,34.45933333,35.13666667,62.39933333,62.82266667,63.93262127,1.788,1.8108,1.8414,0.6413,0.7445,0.8614,0.0516,0.1855,0.5269,0,152.9,104.4,0,156.9,122.6,0,0,0.2256,0,0.1193,0.1821,0,0.6348,0.7935,0.8896,0.8869,1.8148,0.4026,126.3677,59.0838,47.752,81.8958,35.8459,30.8486,23.8628,37.7236,39.0009,1.6099,0.5264,0.2722
LYC-53,3,175.297846,1876.26148,56.896,57.658,34.29,41.31733333,43.55618247,0.7166,0.6027,0.7655,0.8348,0.5446,1.5328,0.0615,0.1394,0.5416,0.123,258.3,247,0.2167,167.4,152.1,0,0,0,0.2449,0.0599,0,0.263,0.3934,0.6612,0.8895,0.8846,0.6007,0.4821,164.0945,100.4329,82.7726,116.163,52.7139,25.4917,25.2705,44.7503,35.8946,1.9918,0.7512,0.1326
LYC-54,3,293.3731242,4910.212402,102.9546667,103.2086667,46.482,59.60533333,62.12373487,0.5775,0.4515,0.6029,0.8084,0.6743,1.1988,0.0783,0.2116,0.5855,0.1189,225.4,256.4,0.2563,186,175,0.0231,0.0504,0,0.1651,0.2813,0,0.2366,0.4545,0.623,0.8902,0.8884,0.4506,0.5118,131.6425,72.5029,59.6585,89.9872,40.3676,26.0647,22.1471,40.3545,34.2032,1.7405,0.7524,0.1308
LYC-55,3,219.9414194,3170.968568,57.15,59.436,64.68533333,70.18866667,70.18341733,1.1809,1.1319,1.2277,0.7926,0.4948,1.6018,0.0552,0.0756,0.4772,0.0416,245.7,200.6,0.0914,147.6,117.6,0,0,0,0.2492,0.1385,0,0.4284,0.3981,0.7367,0.8905,0.8905,1.1338,0.4173,141.2329,93.2038,72.616,100.7789,47.3936,18.7875,23.9227,51.8558,30.4182,1.2324,0.5728,0.2401
LYC-56,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-57,3,246.1760549,3684.716645,52.832,53.25533333,82.71933333,87.79933333,88.65757393,1.6486,1.5657,1.6781,0.7564,0.5337,1.4174,0.0509,0.1538,0.526,0.0362,267.7,176.3,0.0819,108.3,106.2,0,0,0,0.1974,0.0926,0,0.3202,0.4417,0.7529,0.8894,0.8874,1.5663,0.4065,153.1497,83.5613,69.8074,104.8918,46.5899,29.6712,24.8509,39.9476,38.7034,1.9374,0.6358,0.2009
LYC-58,3,194.076828,2509.306809,58.08133333,58.33533333,47.32866667,52.40866667,54.91629013,0.8984,0.8149,0.9469,0.7522,0.6764,1.1121,0.0337,0.0521,0.5436,0.0566,253.6,209.2,0.076,174.4,159.9,0,0,0,0.1457,0.1059,0,0.1318,0.4637,0.7217,0.8902,0.8867,0.8139,0.4516,128.5261,69.4888,55.8502,86.7594,39.0011,26.1799,22.6965,40.9235,34.6485,0.5476,0.6513,0.1924
LYC-59,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
