"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Average.Chroma","0.620658380311872","0.636929740837012","0.652592592592593","0.475","0.0915853059693488","0.101836545671009","0.131466338801648","0.189378177094753"
"Lobedness.Degree","0.394630810335264","0.462410218233077","0.537777777777778","0.271666666666667","0.112294678467947","0.130148887096296","0.12878135862618","0.180734581124691"
"Pericarp.Area","0.648954742013476","0.671850173898315","0.638518518518518","0.435","0.0979253451707636","0.109177303393549","0.115990310099158","0.207716087856387"
"Pericarp.Thickness","0.66108677859844","0.682439963056758","0.626666666666667","0.511666666666667","0.0961340635294796","0.105714462067759","0.122313707202388","0.20137252755673"
"Average.fruit.weight","0.737694215271815","0.735376873028076","0.653333333333333","0.586666666666667","0.0804524342070933","0.0917740370272033","0.124755125129863","0.189901658289308"
"Productivity.per.plant","0.595904813137272","0.606221655572521","0.592592592592593","0.433333333333333","0.0963801750806672","0.112861211137108","0.134808313577732","0.221849052820012"
"Fruit.number.per.plant","0.798578267632006","0.676076894695842","0.715555555555556","0.64","0.130781623906522","0.125268892928506","0.122449114868343","0.199580096114569"
"Brix..","0.609848176453556","0.548963983173862","0.624444444444444","0.558333333333333","0.13410298157711","0.123601189829218","0.10973797308104","0.199446942252944"
"BNTC","0.55303017538213","0.485432402830772","0.636296296296296","0.513333333333333","0.130297660757163","0.135482702157564","0.111406517573569","0.187232284640318"
"FRAP..umol.Fe2..g.FW","0.631393483462737","0.510173046016441","0.674074074074074","0.541666666666667","0.111693821387644","0.139049769314665","0.126566195528154","0.20969910263645"
"TP..mg.GAE.100g.FW","0.54246758440955","0.61896079488083","0.573333333333333","0.395","0.143692133707438","0.119176918434098","0.132585524108336","0.207392731228563"
