Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-11,2,144.02,1018.83,21.51,24.09,51.94,56.56,56.93,2.35,2.42,2.64,1.02,0.46,2.25,0.08,0.27,0.46,0.03,248.78,150.95,0.11,73.55,52.1,0,0.08,0,0.43,0.09,0,0.59,0.23,0.73,0.89,0.88,2.43,0.45,169.63,163.01,104.95,129.41,70.87,-8.6,37.83,102.97,38.82,1.22,0.58,0.24
CAPS-12,2,141.91,835.9,16.4,22.1,49.23,56.56,57.11,2.56,3.01,3.53,1.28,0.43,2.96,0.11,0.32,0.38,0.03,244.03,103.78,0.13,40.38,33.65,0,0,0,0.58,0.17,0,0.89,0.17,0.7,0.89,0.86,3.03,0.52,180.83,169.4,116.59,140,73.99,-5.93,35.29,99.61,35.8,1.43,0.58,0.24
CAPS-13,2,139.4,799.5,16.28,18.94,53.89,58.04,58.55,3.07,3.34,3.62,1.01,0.46,2.2,0.09,0.34,0.43,0.02,168.4,95.03,0.06,43.73,36.93,0,0,0,0.43,0.11,0,0.67,0.26,0.74,0.89,0.89,3.36,0.45,150.14,155.93,98.41,120.19,66.85,-14.07,35.75,111.49,38.43,1.32,0.54,0.27
CAPS-14,2,394.32,2571.3,17.5,35.64,148.15,170.16,177.72,5,8.65,10.39,1.08,0.56,1.96,0.18,0.46,0.28,0.03,40.28,8.33,0.01,10.63,14.23,0,0.23,0,0.53,0.73,0,3.23,0.17,0.7,0.96,1.03,8.7,0.5,138.34,140.46,86.22,107.14,60.92,-11.68,34.46,108.72,36.39,2.62,0.56,0.25
CAPS-17,2,372.09,4213.79,30.9,41.63,136.36,153.5,155.94,3.74,4.42,5.11,1.14,0.56,2.04,0.1,0.4,0.44,0.04,192.58,96.5,0.16,44.55,31.3,0,0,0,0.57,0.37,0,2.24,0.11,0.71,0.88,0.92,4.43,0.5,136.59,135.19,94.63,109.27,59.28,-8.05,26.52,106.99,27.72,3.47,0.6,0.22
CAPS-18,2,343.69,4099.1,31.81,37.27,129.88,140.1,140.77,3.77,4.11,4.52,1.04,0.64,1.65,0.09,0.38,0.54,0.03,238.03,95.98,0.12,89.48,53.28,0.02,0.09,0,0.39,0.23,0,1.01,0.27,0.74,0.88,0.89,4.12,0.49,133.48,137.68,98.6,111.48,59.75,-10.44,24.75,112.86,26.87,3.25,0.66,0.18
CAPS-21,2,301.49,3724.22,38.97,41.13,107.61,123.66,122.96,3.02,2.77,3.2,0.86,0.36,2.42,0.08,0.32,0.46,0.03,244.73,109.38,0.14,52.78,51.08,0,0.12,0,0.31,0.32,0,1.03,0.38,0.69,0.89,0.88,2.75,0.44,132.19,136.15,89.79,106.55,59.03,-11.38,29.38,111.16,31.51,3.12,0.58,0.23
CAPS-31,2,230.29,2943.75,47.03,53.72,67.18,76.84,77.97,1.44,1.45,1.68,1.03,0.39,2.77,0.1,0.15,0.46,0.07,250.4,237.25,0.24,88.75,87.55,0,0.13,0,0.47,0.26,0,0.92,0.22,0.7,0.89,0.89,1.45,0.46,139.65,140.81,95.66,112.07,61.02,-9.95,28.98,109.2,30.67,2.51,0.72,0.21
CAPS-32,2,226.51,2749.27,51.29,61.32,53.13,67.06,70.89,1.1,1.04,1.36,0.97,0.44,2.25,0.14,0.16,0.43,0.08,228.8,248.95,0.28,120.28,99.33,0,0,0,0.52,0.33,0,0.87,0.21,0.63,0.89,0.88,1.04,0.5,142.58,143.57,101.4,116.04,62.13,-9.48,27.08,109.24,28.7,2.71,1.19,0.16
CAPS-33,2,170.81,1673.62,56.62,57.26,28.93,37.97,41.44,0.66,0.51,0.73,0.81,0.62,1.31,0.08,0.19,0.56,0.07,201.7,257.13,0.25,187.03,89.35,0.05,0.03,0,0.19,0.16,0,0.23,0.42,0.61,0.89,0.89,0.51,0.51,165.47,75.95,57.35,104.76,46.96,37.97,35.08,42.73,51.72,1.33,0.62,0.25
CAPS-34,2,197.89,2022.71,67.14,67.88,26.9,40.36,42.61,0.6,0.41,0.64,0.62,0.55,1.22,0.1,0.24,0.52,0.08,163.98,242.93,0.19,210.98,167.18,0.18,0.02,0.14,0,0.5,0.22,0,0.53,0.53,0.89,0.88,0.41,0.56,151.73,69.81,54.84,97.04,42.86,35.42,30.29,40.49,46.62,2.98,0.67,0.17
CAPS-35,2,133.77,1015.42,44.77,45.21,22.25,29.32,30.68,0.65,0.5,0.7,0.69,0.6,1.16,0.08,0.19,0.54,0.14,217.63,260.55,0.41,156.13,166.8,0.03,0.01,0.02,0.14,0.14,0.05,0.13,0.43,0.61,0.89,0.89,0.49,0.51,161.94,74.83,57.4,103.06,46.08,37.17,33.67,42.14,50.17,1.93,0.56,0.25
CAPS-36,2,183.02,1817.29,65.05,66.02,26.37,36.41,36.43,0.55,0.41,0.56,0.51,0.75,0.7,0.08,0.24,0.49,0.11,227.45,194.28,0.22,201.95,187.23,0.08,0.03,0.16,0.03,0.44,0.16,0.05,0.55,0.58,0.89,0.88,0.41,0.53,157.39,88.78,74.76,109.06,48.5,28.69,24.53,40.44,37.77,2.87,0.69,0.18
CAPS-37,2,170.58,1595.84,58.99,60.01,25.97,34.31,36.15,0.57,0.44,0.61,0.78,0.67,1.19,0.08,0.22,0.55,0.14,157.68,255.15,0.44,143.38,138.68,0.05,0.05,0.04,0.17,0.2,0.04,0.19,0.44,0.6,0.89,0.88,0.44,0.52,156.11,73.42,57.84,100.56,44.55,35.69,30.91,40.94,47.24,2.23,0.62,0.22
CAPS-38,2,182.83,1675.2,65.47,67.23,23.37,33.8,35.7,0.51,0.36,0.59,0.48,0.83,0.58,0.09,0.27,0.49,0.12,212.3,248.6,0.33,195.98,131.43,0.02,0.01,0.23,0.02,0.49,0.26,0.02,0.59,0.56,0.89,0.88,0.36,0.55,147.39,71.84,55.43,95.32,42.56,32.74,29.63,42.16,44.18,2.68,0.74,0.16
CAPS-39,2,284.87,4247.35,49.15,51.41,102.02,108.63,109.58,2.11,2.08,2.23,0.85,0.39,2.22,0.06,0.23,0.47,0.03,255.03,109.73,0.09,78.05,68.8,0,0,0,0.31,0.18,0,0.8,0.37,0.75,0.89,0.89,2.08,0.41,136.64,65.18,52.29,88.87,39.15,32,26.02,39.18,41.25,4.86,0.66,0.19
CAPS-40,2,336.67,5336.03,50.5,54.36,120.12,133.43,133.15,2.47,2.4,2.68,0.94,0.38,2.54,0.08,0.27,0.45,0.03,246.28,100.98,0.11,59.53,55.68,0,0.03,0,0.39,0.29,0,1.3,0.31,0.72,0.89,0.88,2.4,0.43,132.82,62.88,51.72,86.77,37.93,31.68,24.56,37.78,40.08,2.67,0.82,0.18
CAPS-41,2,326.24,5149.75,51.12,56.22,118.75,127.72,126.36,2.29,2.36,2.49,0.92,0.33,2.84,0.08,0.26,0.44,0.04,248.23,136.93,0.1,59.43,56.83,0,0.08,0,0.4,0.14,0,1.38,0.29,0.74,0.89,0.88,2.36,0.41,125.35,57.17,47.33,81.17,35.16,31.46,23.43,36.63,39.23,4.7,0.67,0.2
CAPS-42,2,310.58,4536.5,47.52,54.59,103.51,114.45,115.16,2.1,2.18,2.45,1.05,0.47,2.25,0.09,0.24,0.47,0.05,237.7,201.45,0.21,94.15,67.05,0,0,0,0.45,0.21,0,1.29,0.23,0.72,0.88,0.89,2.19,0.46,138.11,74.3,60.2,93.28,41.58,27.89,24.3,41.06,37,4.21,0.71,0.17
CAPS-43,2,333.34,5108.29,47.5,54.61,118.94,130.73,131.28,2.4,2.53,2.83,1.02,0.39,2.62,0.09,0.28,0.43,0.03,266.88,100.8,0.12,61.45,55.88,0,0.18,0,0.45,0.2,0,1.5,0.25,0.73,0.89,0.89,2.53,0.45,131.8,63.53,51.91,86.4,37.86,30.92,24.37,38.22,39.38,5.17,0.74,0.18
CAPS-44,2,342.76,5608.67,56.11,62.17,114.6,126.01,127.46,2.04,2.08,2.32,0.98,0.44,2.25,0.09,0.24,0.46,0.04,268.28,117.83,0.18,85.68,65.58,0,0,0,0.39,0.28,0,1.38,0.3,0.73,0.88,0.88,2.08,0.43,126.27,58.98,48.48,82.07,35.69,30.72,23.54,37.45,38.72,4.03,0.67,0.2
CAPS-45,2,350.35,6423.9,59.65,65.15,120.21,128.1,128.63,1.96,2.02,2.16,0.95,0.53,1.8,0.08,0.22,0.49,0.05,276.33,161.83,0.15,99.38,77.78,0,0.06,0,0.36,0.25,0,1.06,0.28,0.75,0.88,0.89,2.03,0.43,124.06,55.49,45.04,79.48,34.55,31.61,24.12,37.27,39.78,4.64,0.59,0.23
CAPS-46,2,357.47,5140.65,41.74,48.05,131.59,145.03,146.44,3.03,3.18,3.55,1.01,0.47,2.19,0.09,0.34,0.48,0.02,220.73,111,0.11,61.38,51.05,0,0.01,0,0.44,0.32,0,1.43,0.23,0.73,0.89,0.89,3.19,0.46,137.08,64.68,51.47,88.69,39.07,32.46,26.38,39.1,41.84,3.48,0.61,0.21
CAPS-47,2,296.5,4182.11,46.71,50.8,101.88,113.83,113.18,2.24,2.18,2.44,0.9,0.4,2.28,0.08,0.25,0.44,0.05,278.05,80.58,0.16,76.28,53.88,0,0,0,0.36,0.16,0,1.09,0.33,0.72,0.89,0.88,2.19,0.43,126.91,56.66,45.26,80.96,35.38,32.26,25.29,38.07,41,3.61,0.62,0.22
CAPS-48,2,397.79,7343.77,64.43,70.78,128.64,140.01,140.88,1.99,2.02,2.27,0.96,0.48,2.1,0.08,0.22,0.49,0.07,292.97,204.9,0.24,61.43,86.83,0,0.09,0,0.41,0.27,0,1.2,0.24,0.73,0.89,0.89,2.02,0.44,121.29,60.26,49.4,80.2,35.1,27.9,21.8,38.16,35.46,7.73,0.66,0.17
CAPS-49,2,302.64,4065.5,41,47.14,109.96,122.05,121.61,2.6,2.7,3.01,0.96,0.38,2.6,0.09,0.3,0.42,0.02,175.45,130.2,0.06,60.65,50.2,0,0.08,0,0.41,0.3,0,1.36,0.27,0.72,0.9,0.89,2.7,0.44,138.8,67.77,52.48,89.99,40.11,31.45,27.29,40.93,41.66,4.11,0.63,0.2
CAPS-50,2,427.91,7121.78,48.66,57.53,166.45,172.78,171.78,3.01,3.43,3.63,0.98,0.5,1.95,0.08,0.34,0.46,0.03,195.13,104.38,0.14,61.1,41.15,0,0.14,0,0.34,0.34,0,1.55,0.3,0.77,0.89,0.9,3.44,0.43,125.93,61.44,50.41,82.9,36.38,29.48,23.15,38.16,37.49,2.82,0.61,0.22
CAPS-51,2,357.23,6212.44,58,64.09,106.4,133.29,134.4,2.1,1.87,2.41,1.01,0.34,3.02,0.09,0.23,0.47,0.06,260.9,154.47,0.25,48.67,60.33,0,0.25,0,0.41,0.63,0,1.26,0.26,0.64,0.88,0.88,1.87,0.51,132.83,95.54,55.74,88.74,46.23,11.5,33.51,70.99,35.54,3.67,0.71,0.15
CAPS-52,2,320.32,5075.64,54.93,57.4,102.49,114.6,115.1,2,1.86,2.11,0.93,0.53,1.77,0.07,0.22,0.49,0.06,262.6,165.05,0.23,121.83,76.7,0,0,0,0.3,0.28,0,0.8,0.37,0.71,0.89,0.88,1.87,0.44,108.84,53.63,43.35,71.55,31.34,25.84,20.12,37.86,32.76,3.93,0.8,0.18
CAPS-53,2,262.24,3538.99,46.88,49.97,86.25,95.99,95.76,1.94,1.86,2.08,0.84,0.41,2.44,0.08,0.21,0.46,0.06,270.85,164.58,0.19,71.05,62.55,0,0.06,0.01,0.3,0.22,0.19,0.75,0.36,0.72,0.89,0.89,1.86,0.43,129.52,56.67,44.66,81.9,35.77,33.3,26.36,38.19,42.51,3.65,0.5,0.19
CAPS-54,2,291.88,4390.03,52.56,57.74,91.95,104.39,106.9,1.81,1.75,2.05,0.99,0.37,2.79,0.09,0.2,0.47,0.05,263.15,212.78,0.14,54.68,61.78,0,0.09,0,0.43,0.25,0,1.09,0.25,0.71,0.88,0.88,1.76,0.45,117.21,49.45,40.71,74.19,31.81,31.86,23.07,35.84,39.35,2.44,0.74,0.16
CAPS-55,2,256.96,4181.61,40.68,50.91,81.36,93.37,94.14,1.83,2.06,2.37,1.16,0.37,3.3,0.11,0.23,0.39,0.05,261.87,88.03,0.24,51.67,43.2,0,0.08,0,0.54,0.29,0,1.88,0.2,0.7,0.88,0.9,2.07,0.48,107.95,52.33,42.73,70.81,30.74,26.16,19.8,37.01,32.82,3.72,0.67,0.18
CAPS-56,2,250.45,2922.5,36.07,47.9,80.79,90.68,92.14,1.9,2.27,2.6,1.24,0.44,2.82,0.11,0.24,0.41,0.05,258.35,203.45,0.23,59.2,62.93,0,0.15,0,0.51,0.31,0,1.27,0.23,0.71,0.88,0.9,2.27,0.5,141.3,87.91,49.88,89.97,45.36,20,36.37,61.13,41.57,3.62,0.71,0.15
CAPS-57,2,298.84,4498.54,49.74,54.19,101.03,111.65,111.55,2.07,2.05,2.26,1.02,0.41,2.49,0.08,0.23,0.48,0.06,262.03,217.65,0.26,66.55,62.6,0,0.02,0,0.41,0.16,0,1.14,0.29,0.72,0.89,0.88,2.05,0.44,134.15,64.6,52.72,87.87,38.48,31.3,24.7,38.25,39.88,2.74,0.64,0.2
CAPS-58,2,292.37,3601.99,48.11,57.32,79.08,96.16,98.07,1.68,1.69,2.23,0.94,0.54,1.81,0.12,0.21,0.43,0.1,257.05,264.18,0.48,63.7,111.63,0.01,0.08,0,0.49,0.38,0,1.22,0.27,0.66,0.89,0.88,1.69,0.47,122.43,59.79,47.04,79.6,35.13,28.44,23.61,39.57,36.99,4.1,0.78,0.14
CAPS-59,2,323.64,5332.96,56.22,59.73,114.22,122.26,122.26,2.06,2.04,2.18,0.93,0.35,2.91,0.08,0.22,0.46,0.04,258.88,93.43,0.13,66.05,55.03,0,0.12,0,0.37,0.09,0,1.26,0.35,0.75,0.89,0.89,2.04,0.4,124.48,59.77,49.49,81.79,35.73,29.66,22.61,37.32,37.3,5.02,0.63,0.2
CAPS-60,2,324.81,5670.33,60.99,63.98,103.35,115.17,116.03,1.81,1.71,1.93,0.94,0.45,2.13,0.07,0.19,0.5,0.06,274.9,208.5,0.17,101.4,87.73,0,0.02,0,0.37,0.17,0,1.03,0.31,0.72,0.89,0.89,1.71,0.45,130.67,62.13,50.32,85.12,37.3,31.04,24.54,38.27,39.57,4.44,0.74,0.17
CAPS-61,2,336.68,5448.17,57.32,63.48,105.18,119.8,120.22,1.92,1.88,2.14,0.94,0.39,2.43,0.08,0.21,0.46,0.06,253.8,136.75,0.22,67.08,77.68,0,0.08,0,0.39,0.29,0,1.2,0.28,0.7,0.89,0.88,1.88,0.45,136.59,66.04,52.61,89,39.4,31.53,26.39,39.94,41.12,3.73,0.61,0.21
CAPS-62,2,185.14,1493.73,24.41,27.5,67.69,73.51,73.78,2.72,2.81,3.03,0.98,0.45,2.19,0.08,0.3,0.47,0.05,278.58,107.98,0.17,55.6,52.38,0,0.12,0,0.37,0.11,0,0.69,0.32,0.74,0.88,0.89,2.82,0.45,137.77,59.57,47.15,86.87,38,35.17,28.07,38.58,45,2.03,0.67,0.18
CAPS-63,2,207.08,2056.75,30.86,32.43,75.25,82.93,83.45,2.56,2.45,2.73,0.89,0.46,1.95,0.07,0.28,0.45,0.03,137.85,123.18,0.08,82.1,57.25,0,0,0,0.32,0.19,0,0.62,0.36,0.73,0.89,0.88,2.45,0.44,136.93,61.64,50.63,88.14,38.35,33.94,26.08,37.54,42.81,2.73,0.65,0.19
CAPS-64,2,220.9,1980.75,28.09,33.23,74.3,85.34,86.57,2.57,2.64,3.14,1.08,0.36,3.07,0.09,0.3,0.44,0.04,264.68,118.75,0.16,42.68,50.45,0,0.08,0,0.48,0.24,0,1.03,0.24,0.69,0.88,0.86,2.64,0.47,117.83,51.02,42.63,75.34,32.3,31.33,22.31,35.43,38.47,2.81,0.7,0.17
CAPS-65,2,227.81,1494.53,19.71,28.7,76.56,94.74,99.69,3.44,3.92,5.25,0.87,0.45,1.98,0.11,0.39,0.31,0.01,110.55,35.8,0.04,32.45,29.33,0,0.13,0,0.29,0.49,0,1.47,0.37,0.65,0.89,0.94,3.94,0.49,132.94,57.6,46.98,84.58,36.73,34.37,26.24,37.29,43.25,4.81,0.6,0.22
CAPS-66,2,308.86,2102.66,20.96,28.64,108.31,126.51,129.1,4.45,5.19,6.36,0.9,0.39,2.39,0.11,0.42,0.36,0.05,170.4,113.68,0.1,114.4,21.75,0,0.12,0,0.43,0.35,0,1.64,0.28,0.69,0.93,0.94,5.23,0.46,124.65,54.15,44.12,79.33,34.3,32.55,24.38,36.74,40.67,4.24,0.62,0.21
CAPS-67,2,191.44,1482.16,25.89,29,66.15,71.69,72.82,2.5,2.6,2.88,0.83,0.6,1.43,0.08,0.29,0.45,0.04,242.13,131.8,0.11,69.8,63.93,0.02,0.08,0,0.27,0.19,0,0.5,0.37,0.74,0.88,0.9,2.61,0.42,135.33,82.19,64.86,94.16,43.18,21.98,23.08,46.91,31.99,2.36,0.63,0.2
CAPS-76,2,141.68,1110.24,26.2,29.78,48.2,51.79,52,1.75,1.85,1.98,0.97,0.44,2.25,0.08,0.19,0.45,0.03,215.3,158.63,0.14,87.03,68.05,0,0,0,0.39,0.1,0,0.54,0.29,0.74,0.89,0.89,1.85,0.43,135.62,137.78,91.18,109.42,59.58,-10.66,29.86,109.67,31.75,0.88,0.58,0.24
CAPS-81,2,252.62,3150.16,39.58,41.7,96.16,100.18,99.52,2.44,2.49,2.59,0.87,0.42,2.09,0.07,0.27,0.45,0.03,193.85,91.5,0.08,61.88,52.73,0,0,0,0.28,0.17,0,0.77,0.41,0.77,0.88,0.89,2.5,0.39,135.57,65.58,53.17,88.75,39.06,31.36,25.18,38.63,40.26,3.1,0.63,0.21
CAPS-82,2,337.17,5512.08,53.15,66.76,109.96,121.05,122.92,1.82,2.09,2.36,1.18,0.38,3.24,0.1,0.22,0.42,0.05,230.7,180.15,0.27,43.68,71.1,0,0.11,0,0.55,0.25,0,1.71,0.19,0.72,0.89,0.9,2.09,0.47,140.09,69.03,56.13,92.28,40.76,31.53,26.13,39.65,40.95,3.13,0.64,0.2
CAPS-83,2,311.2,5156.97,60.92,62.19,95.5,108.01,108.16,1.74,1.58,1.78,0.83,0.47,1.83,0.07,0.17,0.51,0.09,278.15,238.6,0.28,101.53,100.05,0,0.21,0,0.16,0.21,0,0.63,0.5,0.7,0.88,0.89,1.58,0.44,132.3,58.55,47.16,84.32,36.81,33.46,26.27,38.13,42.54,3.89,0.64,0.2
CAPS-84,2,321.12,4312.27,42.31,49.17,111.97,125.52,126.12,2.57,2.66,3,1.01,0.4,2.55,0.09,0.3,0.44,0.03,241.35,102.38,0.15,51.43,44.98,0,0,0,0.42,0.33,0,1.49,0.28,0.71,0.87,0.9,2.66,0.45,129.19,62.34,50.54,84.5,37.12,30.26,24.15,38.6,38.72,4.08,0.65,0.2
CAPS-85,2,287.59,4277.37,50.84,54.17,94.49,104.73,105.75,1.95,1.88,2.1,1,0.38,2.76,0.08,0.21,0.49,0.04,235.23,66.83,0.16,73.3,71.73,0,0.05,0,0.38,0.2,0,1.07,0.35,0.72,0.89,0.89,1.88,0.44,122.09,55.83,45.04,78.52,34.25,30.43,23.62,37.58,38.56,5.13,0.61,0.21
CAPS-86,2,242.91,3191.96,45.3,50.5,79.04,86.85,87.34,1.72,1.75,1.94,0.99,0.4,2.51,0.08,0.19,0.45,0.04,238.98,145.75,0.17,84.4,71.33,0,0,0,0.43,0.18,0,0.92,0.26,0.73,0.89,0.89,1.75,0.44,118.7,54.43,45.61,77.13,33.25,29.9,21.67,35.93,36.93,2.08,0.6,0.22
CAPS-87,2,266.47,4743.26,44.96,48.18,92.1,100.39,101.48,2.09,2.07,2.28,0.94,0.34,2.98,0.08,0.23,0.46,0.04,257.3,166.93,0.14,61.77,58.93,0,0.01,0,0.4,0.2,0,1.41,0.33,0.73,0.89,0.88,2.07,0.42,123.76,54.56,45.93,79.73,34.3,32.17,23.01,35.54,39.55,5.57,0.68,0.17
CAPS-88,2,358.43,6438.42,65.38,70.32,109.22,125.71,126.89,1.79,1.68,1.96,0.99,0.37,2.7,0.09,0.19,0.46,0.08,276.85,243.8,0.28,84,78.48,0,0.02,0,0.4,0.22,0,1.37,0.33,0.7,0.89,0.88,1.68,0.44,126.13,58,48.14,81.9,35.48,31.31,23.27,36.62,39.03,5.77,0.64,0.19
CAPS-89,2,327.77,5358.38,50.86,56.79,117.31,124.5,126.05,2.19,2.3,2.47,1.04,0.45,2.36,0.08,0.26,0.48,0.03,227.95,170.08,0.07,70.6,64.58,0,0,0,0.48,0.21,0,1.34,0.22,0.75,0.89,0.89,2.31,0.44,123.31,60.5,47.31,80.24,35.59,28.52,24.05,40.14,37.31,6.66,0.64,0.19
CAPS-90,2,295.68,3889.43,41.85,46.36,101.88,116.82,117.84,2.52,2.44,2.85,0.97,0.36,2.73,0.08,0.29,0.43,0.04,282,108.98,0.14,58.18,49.15,0,0.02,0,0.39,0.33,0,1.26,0.31,0.7,0.88,0.87,2.44,0.45,141.5,64.41,51.71,90.87,39.78,34.44,27.53,38.58,44.1,3.81,0.78,0.2
CAPS-91,2,301.94,4659.57,49.23,52.15,106.72,115.02,115.4,2.21,2.17,2.36,0.95,0.48,1.99,0.07,0.24,0.51,0.05,267.1,46.85,0.14,85.6,66.85,0,0.04,0,0.35,0.18,0,0.92,0.33,0.74,0.89,0.89,2.17,0.44,146.56,92.77,51.44,93.18,47.4,19.65,38.14,62.66,42.97,4.23,0.69,0.2
CAPS-92,2,248.51,3001.05,61.68,63.33,43.14,61.13,72.32,0.96,0.7,1.17,0.92,0.69,1.35,0.13,0.16,0.61,0.09,166.25,274.2,0.33,247.3,205.48,0.05,0.01,0,0.27,0.12,0,0.42,0.36,0.56,0.89,0.88,0.7,0.56,148.35,150.1,109.61,122.87,64.93,-9.7,25.93,110.57,27.69,1.92,0.73,0.19
CAPS-93,2,247.62,3173.38,54.91,57.62,53.15,70.4,75.51,1.22,0.96,1.38,0.94,0.72,1.38,0.11,0.15,0.6,0.08,225,261.3,0.29,136.25,141.65,0.09,0.01,0.12,0.17,0.22,0.22,0.3,0.48,0.58,0.89,0.88,0.96,0.55,121.01,124.87,86.8,99.93,54.02,-9.89,24.25,112.16,26.19,2.99,0.9,0.17
