Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-44,3,318.49,5136.68,55.29,56.68,110.41,120.95,119.63,2.14,2.01,2.19,0.81,0.46,1.78,0.06,0.23,0.49,0.05,280.93,138.95,0.20,93.28,73.75,0.00,0.00,0.00,0.23,0.21,0.00,0.75,0.43,0.73,0.89,0.89,2.01,0.41,125.12,56.10,46.90,80.81,34.90,31.84,23.24,36.11,39.42,3.51,0.77,0.20
CAPS-45,3,368.45,7358.95,68.81,71.26,126.80,134.99,135.78,1.90,1.85,1.99,0.80,0.47,1.69,0.06,0.20,0.49,0.05,279.57,168.27,0.14,94.07,87.97,0.00,0.03,0.00,0.27,0.15,0.00,0.87,0.38,0.75,0.89,0.89,1.85,0.41,122.40,57.28,45.76,79.07,34.63,29.98,23.75,38.41,38.26,5.14,0.66,0.19
CAPS-46,3,309.77,4290.80,42.86,46.78,110.55,121.81,122.11,2.60,2.58,2.86,0.98,0.45,2.21,0.08,0.29,0.46,0.04,269.73,113.10,0.13,84.05,59.43,0.00,0.00,0.00,0.41,0.25,0.00,1.16,0.29,0.73,0.89,0.88,2.58,0.45,135.78,59.78,48.48,86.63,37.67,34.49,26.48,37.51,43.49,3.62,0.60,0.23
CAPS-47,3,298.61,4191.38,45.91,50.61,100.25,114.02,115.73,2.26,2.18,2.53,0.95,0.34,2.84,0.08,0.25,0.43,0.05,289.05,80.13,0.13,71.33,55.43,0.00,0.12,0.00,0.45,0.26,0.00,1.21,0.27,0.70,0.88,0.89,2.18,0.45,128.90,54.56,44.58,81.55,35.26,34.27,25.66,36.71,42.83,5.67,0.63,0.20
CAPS-48,3,405.09,8722.49,74.25,81.17,132.80,146.43,147.30,1.80,1.79,1.99,0.92,0.42,2.24,0.08,0.19,0.47,0.05,272.30,179.83,0.16,55.58,90.75,0.00,0.06,0.00,0.36,0.25,0.00,1.34,0.31,0.72,0.88,0.90,1.79,0.43,108.98,50.64,42.11,70.97,30.50,27.73,19.91,35.61,34.14,5.78,0.64,0.20
CAPS-49,3,265.86,3119.71,36.98,42.25,97.16,106.70,107.23,2.56,2.63,2.92,0.94,0.32,2.92,0.09,0.29,0.40,0.03,78.85,114.10,0.06,50.03,42.90,0.00,0.21,0.00,0.40,0.20,0.00,1.22,0.32,0.73,0.88,0.87,2.64,0.42,130.94,56.72,46.28,83.34,36.16,34.01,25.74,37.09,42.65,2.94,0.65,0.21
CAPS-50,3,408.50,6945.76,51.45,53.82,157.42,166.45,164.82,3.10,3.06,3.21,0.81,0.49,1.66,0.06,0.32,0.49,0.04,265.83,98.60,0.11,60.67,59.40,0.00,0.03,0.00,0.30,0.18,0.00,1.01,0.31,0.76,0.89,0.89,3.07,0.42,123.47,61.55,51.44,82.23,36.00,28.32,21.59,37.13,35.65,4.16,0.58,0.23
CAPS-51,3,346.70,5549.18,51.73,65.00,108.06,124.25,126.74,1.92,2.24,2.37,1.27,0.50,2.71,0.10,0.24,0.45,0.06,274.95,183.45,0.22,89.33,66.65,0.00,0.07,0.00,0.47,0.33,0.00,1.58,0.26,0.70,0.88,0.90,2.24,0.50,133.64,86.13,49.56,86.21,43.70,17.46,33.99,62.85,38.25,6.39,0.68,0.17
CAPS-52,3,305.27,4666.07,50.80,53.15,106.47,115.89,116.54,2.18,2.09,2.30,0.92,0.42,2.23,0.07,0.24,0.47,0.05,260.15,129.80,0.16,67.30,62.38,0.00,0.03,0.00,0.38,0.18,0.00,0.97,0.31,0.73,0.89,0.89,2.10,0.42,117.96,55.34,46.31,77.19,33.40,29.18,21.22,35.95,36.09,4.71,0.75,0.18
CAPS-53,3,285.50,3654.37,42.31,46.76,95.04,108.88,110.35,2.34,2.28,2.65,1.01,0.35,2.92,0.08,0.27,0.44,0.05,277.65,47.13,0.13,50.83,52.60,0.00,0.06,0.00,0.41,0.28,0.00,1.22,0.33,0.70,0.88,0.88,2.28,0.44,133.95,60.31,48.05,85.57,37.44,33.32,26.49,38.37,42.59,3.64,0.63,0.20
