Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-150,3,292.85,4447.00,51.92,58.84,89.62,99.59,101.35,1.72,1.75,1.99,1.06,0.62,1.70,0.09,0.20,0.50,0.05,137.63,102.25,0.23,91.43,31.05,0.01,0.01,0.00,0.43,0.27,0.00,1.02,0.17,0.72,0.89,0.89,1.76,0.48,126.15,59.49,49.03,82.33,35.78,30.47,23.19,37.24,38.30,2.72,0.74,0.15
CAPS-151,3,276.04,3307.95,40.87,44.01,91.27,103.72,105.28,2.37,2.25,2.63,0.90,0.45,2.04,0.08,0.27,0.43,0.04,251.48,123.35,0.13,96.88,57.15,0.00,0.18,0.00,0.36,0.29,0.00,0.93,0.35,0.70,0.88,0.91,2.25,0.44,126.46,54.82,43.82,80.06,34.84,33.01,25.45,37.50,41.73,3.70,0.76,0.12
CAPS-151A,3,177.17,1746.57,64.33,64.49,26.59,33.99,35.28,0.53,0.41,0.55,0.66,0.76,0.87,0.08,0.24,0.58,0.11,206.83,230.25,0.37,89.78,134.90,0.01,0.02,0.11,0.03,0.24,0.13,0.03,0.51,0.62,0.89,0.88,0.41,0.51,181.44,134.60,78.02,122.10,63.74,12.08,45.01,75.17,47.12,2.53,0.88,0.14
CAPS-151B,3,307.46,3778.23,42.97,49.32,104.65,113.96,117.37,2.34,2.44,2.78,0.73,0.36,2.03,0.08,0.28,0.46,0.02,130.15,187.40,0.08,36.20,80.95,0.00,0.22,0.00,0.25,0.47,0.00,1.12,0.31,0.73,0.87,0.92,2.44,0.40,106.74,44.28,38.54,68.11,28.65,30.17,19.48,32.84,35.93,4.56,0.75,0.13
CAPS-152,3,164.60,1325.16,25.04,30.08,55.96,63.12,64.01,2.11,2.26,2.46,1.07,0.33,3.35,0.09,0.24,0.41,0.02,185.30,82.93,0.09,49.65,42.73,0.00,0.18,0.00,0.50,0.17,0.00,0.86,0.23,0.72,0.89,0.86,2.26,0.46,158.82,152.62,108.29,125.80,66.91,-6.72,29.47,102.92,30.23,1.28,0.68,0.18
CAPS-153,3,403.86,3416.16,23.58,60.56,129.35,152.72,176.38,2.61,5.49,8.08,1.15,1.07,1.35,0.20,0.39,0.30,0.01,70.38,18.85,0.02,31.35,17.00,0.00,0.29,0.00,0.19,1.36,0.00,3.10,0.39,0.68,1.01,1.06,5.51,0.55,122.80,128.25,84.30,100.30,55.46,-11.60,27.65,112.82,29.99,2.65,0.55,0.25
CAPS-154,3,327.10,4441.26,41.76,43.77,121.90,131.09,130.71,2.99,2.91,3.13,0.90,0.45,2.02,0.07,0.32,0.50,0.03,190.45,126.50,0.13,72.35,47.65,0.00,0.11,0.00,0.31,0.22,0.00,1.07,0.37,0.74,0.89,0.88,2.91,0.42,117.49,118.67,81.01,94.74,51.87,-8.53,24.45,109.17,25.90,1.87,0.73,0.14
CAPS-155,3,332.37,3028.22,23.60,36.03,120.52,143.28,146.83,4.14,5.24,6.46,1.14,0.50,2.35,0.11,0.42,0.33,0.01,123.30,44.88,0.04,31.60,15.38,0.00,0.19,0.00,0.46,0.56,0.00,2.87,0.28,0.68,0.87,0.92,5.27,0.52,133.47,127.53,81.91,102.24,56.34,-6.31,30.80,101.77,31.65,2.44,0.66,0.18
CAPS-156,3,368.11,5471.37,45.28,48.43,138.98,151.64,149.83,3.15,3.10,3.34,0.92,0.42,2.26,0.08,0.33,0.47,0.04,253.38,76.90,0.15,66.83,47.80,0.00,0.25,0.00,0.33,0.28,0.00,1.29,0.34,0.73,0.88,0.89,3.11,0.42,119.05,120.77,81.26,95.56,52.87,-9.09,25.55,109.60,27.12,1.24,0.56,0.25
CAPS-157,3,329.50,5446.73,57.47,60.18,109.07,117.33,118.82,1.98,1.93,2.11,0.88,0.49,1.93,0.07,0.21,0.55,0.04,279.08,141.88,0.14,142.95,100.93,0.00,0.09,0.00,0.24,0.19,0.00,0.67,0.39,0.74,0.89,0.89,1.93,0.42,126.66,61.51,50.45,83.25,36.47,29.62,23.14,37.97,37.60,3.51,0.56,0.25
CAPS-158,3,312.42,3180.74,28.49,43.39,111.95,123.99,129.20,2.87,3.92,4.67,1.17,0.52,2.32,0.13,0.37,0.33,0.01,221.80,88.10,0.07,42.13,37.65,0.00,0.13,0.00,0.45,0.56,0.00,1.57,0.22,0.72,0.91,0.91,3.93,0.49,117.77,122.81,74.02,93.31,53.15,-12.03,30.86,111.38,33.13,2.35,0.68,0.18
CAPS-159,3,326.39,3346.65,31.07,41.23,94.83,127.00,128.99,3.08,3.05,4.20,1.18,0.53,2.24,0.09,0.35,0.38,0.03,328.70,11.70,0.19,77.20,42.00,0.00,0.81,0.00,0.14,0.59,0.00,1.72,0.10,0.60,0.89,0.88,3.07,0.56,121.64,52.62,43.96,77.88,33.45,32.28,22.98,35.44,39.63,3.17,0.70,0.16
CAPS-160,3,314.26,4687.94,69.15,70.78,62.42,83.69,88.85,1.20,0.92,1.29,0.95,0.69,1.45,0.10,0.12,0.63,0.10,237.18,263.55,0.37,191.83,171.03,0.06,0.01,0.00,0.29,0.18,0.00,0.54,0.30,0.59,0.89,0.89,0.92,0.55,108.34,111.30,74.44,87.94,48.38,-9.11,23.67,111.03,25.37,3.24,0.95,0.11
CAPS-161,3,288.53,4053.95,57.89,60.83,72.60,85.94,88.83,1.42,1.27,1.56,0.94,0.60,1.62,0.09,0.14,0.56,0.11,255.70,261.50,0.38,260.78,123.25,0.06,0.03,0.00,0.20,0.19,0.00,0.61,0.46,0.68,0.89,0.90,1.27,0.48,128.10,124.93,85.14,100.52,54.93,-6.88,26.49,104.48,27.38,1.95,0.78,0.11
CAPS-162,3,467.24,7746.04,49.68,58.67,163.15,187.09,189.88,3.21,3.35,3.96,1.06,0.43,2.59,0.09,0.35,0.46,0.03,289.18,121.30,0.15,35.60,43.00,0.00,0.04,0.00,0.41,0.41,0.00,2.02,0.26,0.70,0.89,0.90,3.35,0.48,111.45,48.83,42.09,72.07,30.68,29.87,20.02,33.75,35.97,3.14,0.74,0.15
CAPS-163,3,244.79,2854.25,82.89,83.33,28.02,44.64,48.79,0.54,0.34,0.60,0.79,0.76,1.05,0.10,0.27,0.60,0.20,216.68,266.35,0.61,159.95,152.15,0.07,0.01,0.09,0.07,0.32,0.19,0.07,0.47,0.50,0.89,0.89,0.34,0.59,145.91,69.92,55.84,94.83,41.84,33.33,27.96,40.28,43.56,3.75,0.54,0.14
CAPS-164,3,224.94,2438.75,78.82,79.04,25.44,40.68,45.90,0.52,0.32,0.59,0.67,0.71,0.93,0.11,0.28,0.59,0.14,166.78,270.25,0.43,202.30,141.08,0.07,0.02,0.06,0.08,0.25,0.12,0.11,0.47,0.50,0.89,0.89,0.32,0.59,151.47,71.82,56.80,97.90,43.21,34.57,29.39,40.40,45.38,2.50,0.75,0.13
CAPS-165,3,281.05,4075.56,78.93,85.09,45.87,65.05,71.13,0.78,0.61,0.92,0.98,0.63,1.59,0.12,0.18,0.56,0.14,244.83,270.43,0.41,112.08,124.63,0.03,0.02,0.00,0.35,0.23,0.00,0.64,0.29,0.56,0.89,0.88,0.61,0.57,126.61,57.92,47.21,81.60,35.37,31.32,23.99,37.31,39.48,2.53,0.75,0.13
CAPS-166,3,516.68,4323.26,21.40,50.69,193.82,209.91,227.81,4.60,9.39,11.99,1.28,0.86,1.62,0.16,0.44,0.34,0.02,147.65,14.38,0.04,24.03,12.90,0.00,0.07,0.00,0.31,0.99,0.00,3.11,0.32,0.74,1.10,0.95,9.41,0.52,116.02,119.95,79.06,93.91,52.15,-10.27,26.05,111.49,28.00,5.13,0.70,0.16
CAPS-168,3,296.89,3637.92,38.89,46.68,94.12,110.94,113.62,2.41,2.48,3.11,0.87,0.60,1.45,0.09,0.30,0.44,0.05,249.13,117.80,0.25,81.47,63.53,0.00,0.05,0.00,0.31,0.48,0.00,1.41,0.25,0.68,0.89,0.90,2.48,0.50,127.33,58.28,50.21,83.35,35.83,31.79,22.15,34.81,38.79,3.01,0.84,0.13
CAPS-169,3,253.81,3050.37,87.38,87.71,26.20,47.24,49.91,0.54,0.30,0.57,0.54,0.74,0.72,0.11,0.29,0.54,0.22,226.70,275.90,0.63,200.50,111.95,0.05,0.01,0.11,0.00,0.56,0.35,0.00,0.49,0.45,0.89,0.89,0.30,0.62,138.12,67.00,53.84,90.15,39.77,31.40,26.12,39.76,40.85,3.05,0.57,0.13
CAPS-171,3,288.40,2845.64,34.57,43.41,90.53,102.95,109.34,2.39,2.64,2.76,1.01,0.65,1.82,0.10,0.32,0.44,0.04,263.78,96.00,0.19,51.20,42.65,0.01,0.22,0.00,0.22,0.52,0.00,1.26,0.42,0.70,0.87,0.91,2.65,0.45,95.63,43.17,37.82,62.47,26.25,25.83,16.11,31.68,30.46,5.01,0.86,0.11
CAPS-173,3,248.39,2392.96,36.26,42.46,68.96,85.60,85.83,2.01,1.93,2.43,0.86,0.45,2.26,0.10,0.24,0.46,0.11,261.18,273.63,0.62,106.10,80.80,0.00,0.08,0.00,0.31,0.28,0.00,1.04,0.33,0.65,0.89,0.87,1.93,0.48,114.51,56.10,47.58,76.10,32.96,27.27,19.64,35.72,33.62,5.27,1.02,0.10
CAPS-174,3,164.56,1212.22,21.87,25.80,60.20,67.42,68.21,2.62,2.76,3.13,0.99,0.36,2.74,0.09,0.31,0.39,0.01,72.33,109.08,0.02,37.23,36.60,0.00,0.07,0.00,0.45,0.16,0.00,0.83,0.26,0.72,0.89,0.87,2.76,0.45,109.46,116.90,73.03,90.19,50.37,-12.42,27.54,114.28,30.21,1.84,0.68,0.17
