Genotype Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-97 CAPS-97,1,257.46,2593.19,68.72,74.39,36.49,54.92,62.92,0.74,0.54,1.02,0.69,0.28,2.61,0.16,0.26,0.44,0.13,220.4,254.13,0.43,201.17,188.43,0.21,0.25,0,0.3,0.76,0,0.57,0.37,0.51,0.86,0.89,0.54,0.53,141.77,77.49,58.91,94.38,43.26,26.81,27.91,49.43,39.43,4.28,0.61,0.24
CAPS-98 CAPS-98,1,264.96,3481.67,90.78,91.63,33.27,51.08,52.47,0.56,0.37,0.59,0.5,0.7,0.79,0.1,0.25,0.54,0.15,212.7,256.73,0.48,170.7,208.25,0.11,0.01,0.12,0.05,0.46,0.19,0.08,0.49,0.52,0.89,0.88,0.37,0.57,140.45,76.58,60.29,94.38,42.53,27.39,26.02,43.62,37.78,3.81,0.69,0.15
CAPS-101 CAPS-101,1,218.9,2365.72,78.91,79.46,26.78,39.01,41.65,0.49,0.34,0.54,0.7,0.7,0.98,0.1,0.29,0.57,0.15,202.9,247.3,0.45,142.33,146.83,0.02,0.02,0.04,0.08,0.39,0.14,0.1,0.46,0.55,0.89,0.88,0.34,0.55,145.29,71.44,57.5,95.3,42.02,32.33,27.14,40.02,42.21,2.43,0.7,0.16
CAPS-102 CAPS-102,1,381.61,5405.63,46.48,59.22,124.78,142.11,142.11,2.39,2.74,3.14,1.12,0.25,4.39,0.11,0.29,0.37,0.03,228.9,107.58,0.15,35.03,41.78,0,0.07,0,0.51,0.32,0,2.17,0.22,0.7,0.89,0.85,2.74,0.46,118.53,54.15,44.33,76.52,33.17,29.93,22.39,36.75,37.4,3.36,0.73,0.16
CAPS-103 CAPS-103,1,266.03,3211.2,92.65,92.68,25.4,47.41,54.39,0.51,0.27,0.59,0.61,0.63,1.16,0.13,0.31,0.59,0.11,213.53,266.87,0.26,197.9,198.07,0.22,0.02,0.04,0.08,0.5,0.02,0.12,0.5,0.42,0.89,0.89,0.27,0.64,132.83,66.56,52.6,87.14,38.57,29.31,25.08,40.54,38.58,4.21,0.47,0.19
CAPS-104 CAPS-104,1,276.09,3601.1,89.32,89.97,30.65,55.34,59.76,0.61,0.34,0.69,0.47,0.59,0.88,0.11,0.26,0.56,0.16,220.7,270.3,0.53,213.77,244.4,0.2,0.01,0.05,0.08,0.53,0.08,0.12,0.51,0.44,0.89,0.89,0.34,0.62,131.31,65.62,52.91,86.53,38.12,29.19,24.23,39.66,37.95,4.46,0.61,0.13
CAPS-105 CAPS-105,1,245.87,2909.59,83.74,84.53,28,43.86,49.56,0.52,0.33,0.59,0.64,0.67,0.91,0.11,0.28,0.58,0.14,209.8,260.43,0.38,133.33,193.67,0.03,0.01,0.01,0.13,0.36,0.06,0.17,0.41,0.51,0.89,0.89,0.33,0.58,148.09,82.9,64.63,100.02,45.43,27.37,27.39,45.03,38.84,3.81,0.75,0.17
CAPS-107 CAPS-107,1,241.43,2914.41,84.58,84.75,26.88,46.27,53.95,0.54,0.32,0.64,0.54,0.48,1.04,0.11,0.28,0.58,0.09,187.5,271.5,0.24,201.35,111.3,0.15,0.01,0.06,0.07,0.45,0.11,0.14,0.5,0.47,0.89,0.88,0.32,0.6,129.35,69.42,56.28,87.15,38.63,26.46,22.69,40.76,34.92,3.5,0.77,0.12
CAPS-108 CAPS-108,1,449.46,5416.21,35.41,51.56,157.52,176.19,184.26,3.5,4.45,5.31,1.06,0.6,1.81,0.13,0.4,0.37,0.01,116.15,77.43,0.1,55.5,31.75,0,0.15,0,0.48,0.69,0,2.34,0.23,0.72,0.89,0.97,4.46,0.48,110.14,114.4,74.32,89.19,49.72,-10.25,25.51,111.87,27.49,3.16,0.65,0.19
CAPS-110 CAPS-110,1,40.09,103.17,11.94,11.96,9.93,10.9,12.36,0.91,0.84,1.03,0.68,0.61,1.1,0.05,0.07,0.53,0.02,194,141.55,0.02,121.85,170.08,0.05,0.03,0.02,0.11,0.04,0.01,0.03,0.45,0.73,0.9,0.87,0.84,0.44,170.92,161.37,117.42,135.78,70.75,-5.43,29.61,100.59,30.12,1.31,0.61,0.22
CAPS-111 CAPS-111,1,124.89,892.22,24.96,29.55,38.59,42.57,42.39,1.45,1.58,1.67,0.92,0.48,1.89,0.1,0.16,0.43,0.06,220.48,226.25,0.28,113.13,80.3,0,0,0,0.41,0.09,0,0.49,0.27,0.72,0.89,0.88,1.58,0.46,163.67,161.19,121.04,134.34,70.06,-7.93,26.23,106.87,27.41,1.79,0.67,0.18
CAPS-112 CAPS-112,1,206.55,1967.5,29.32,30.65,85.51,86.04,87.1,2.81,2.93,2.99,0.6,0.48,1.31,0.06,0.3,0.4,0.05,155.13,52.6,0,69.9,50.08,0,0.08,0.03,0.17,0.14,0.04,0.36,0.42,0.8,0.89,0.89,2.94,0.35,113.59,120.62,74.95,92.7,52.15,-12.54,28.71,113.6,31.33,6.78,0.73,0.17
CAPS-113 CAPS-113,1,188.19,1243.16,17.89,21.34,77.53,80.9,81.87,3.87,4.37,4.62,0.92,0.53,1.8,0.08,0.38,0.43,0.01,110.35,61.73,0.01,42.25,37.73,0,0.11,0,0.34,0.13,0,0.73,0.34,0.77,0.89,0.89,4.38,0.44,114.44,119.27,75.08,92.38,51.76,-11.25,28.09,111.76,30.28,1.87,0.54,0.26
CAPS-114 CAPS-114,1,106.73,681.63,31.88,33.63,22.46,27.64,29.36,0.82,0.71,0.92,0.76,0.52,1.49,0.09,0.11,0.48,0.06,213.28,237.05,0.23,200.2,146.1,0.04,0.01,0,0.27,0.16,0,0.22,0.35,0.66,0.91,0.89,0.72,0.47,156.98,150.35,107.34,124.5,65.95,-6.33,28.75,102.6,29.46,2.23,0.65,0.19
CAPS-115 CAPS-115,1,114.95,845.98,37,37.17,24.72,28.45,30.13,0.76,0.67,0.82,0.79,0.63,1.26,0.06,0.12,0.56,0.06,195.75,232.18,0.22,176.85,159.05,0,0,0.03,0.14,0.08,0.03,0.11,0.46,0.69,0.89,0.89,0.67,0.46,158.63,163.95,111.44,130.43,70.15,-13.37,32.7,112.23,35.33,1.4,0.63,0.21
CAPS-116 CAPS-116,1,127.47,821.01,18.56,25.78,44.47,46.69,47.5,1.81,2.39,2.53,1.32,0.48,2.79,0.11,0.24,0.41,0.02,202.73,194.4,0.14,77.68,53.63,0,0,0,0.59,0.07,0,0.73,0.19,0.76,0.89,0.89,2.41,0.5,137.92,138.54,92.98,110.41,60.38,-9.81,29.34,108.48,30.94,1.16,0.65,0.19
CAPS-117 CAPS-117,1,371.57,2956.56,20.3,33.78,121.75,155.79,160.95,4.65,5.93,8.14,1.33,0.56,2.47,0.14,0.44,0.35,0.01,144.03,71.65,0.08,32.6,22.03,0,0.17,0,0.76,0.51,0,2.26,0.05,0.62,0.89,0.79,5.96,0.59,128.67,127.2,85.32,101.38,55.83,-8,27.45,106.2,28.62,3.4,0.64,0.19
CAPS-118 CAPS-118,1,384.41,3414.24,22.92,35.58,149.94,161.78,163.05,4.58,6.6,7.24,1.29,0.59,2.24,0.12,0.43,0.39,0.02,58.73,94.48,0.12,35.73,31.1,0,0.03,0,0.44,0.42,0,2.24,0.08,0.74,0.88,0.94,6.63,0.5,121.56,123.24,80.31,96.72,53.81,-9.58,27.66,109.16,29.28,1.39,0.67,0.17
CAPS-119 CAPS-119,1,352.55,3474.08,26.54,35.96,132.36,145.8,148.62,4.2,5,5.68,1.2,0.53,2.3,0.11,0.41,0.42,0.02,109.08,69.05,0.11,39.93,32.25,0,0,0,0.58,0.36,0,2.13,0.13,0.73,0.89,0.87,5.02,0.49,127.56,126.76,85.54,101.8,55.52,-8.26,26.94,106.77,28.26,1.06,0.61,0.22
CAPS-120 CAPS-120,1,374.7,3262.6,23.62,34.78,132.78,156.95,160.5,4.53,5.65,7,1.13,0.56,2.08,0.12,0.43,0.41,0.04,125.15,127.13,0.1,46.15,38.68,0,0.05,0,0.45,0.49,0,1.85,0.1,0.68,0.88,0.94,5.66,0.52,135.46,129.77,83.69,104.75,57.28,-6.62,30.9,101.38,31.86,2.44,0.67,0.18
CAPS-121 CAPS-121,1,379.35,4079.82,30.12,37.72,137.92,157.37,157.76,4.15,4.56,5.3,1.09,0.55,2.01,0.1,0.4,0.47,0.02,116.43,62.78,0.11,37.05,32.15,0,0.24,0,0.5,0.4,0,1.63,0.09,0.71,0.88,0.92,4.57,0.48,125.32,126.51,81.18,99.34,55.17,-9.8,29.25,108.5,30.95,1.2,0.63,0.2
CAPS-122 CAPS-122,1,359.24,7087.03,68.45,71.46,115.82,124.76,126.77,1.74,1.69,1.86,0.94,0.58,1.62,0.07,0.18,0.53,0.04,231.65,116.6,0.15,48.2,80.4,0,0.06,0,0.29,0.23,0,0.88,0.37,0.74,0.89,0.89,1.69,0.44,119.59,53.6,43.76,76.74,33.11,30.62,22.74,36.53,38.15,3.61,0.69,0.17
CAPS-123 CAPS-123,1,361.19,4158.59,30.88,40.7,133.99,150.81,151.43,3.69,4.34,4.93,1.21,0.51,2.38,0.11,0.39,0.44,0.02,139.25,76.83,0.07,125.7,44.23,0,0.08,0,0.55,0.39,0,1.78,0.15,0.71,0.89,0.89,4.34,0.5,119.15,123.97,78.43,95.79,53.73,-11.48,28.92,111.58,31.13,2.58,0.68,0.18
CAPS-124 CAPS-124,1,223.44,1484.43,16.98,23.11,91.04,97.13,98.13,4.31,5.38,5.86,1.1,0.55,2.01,0.1,0.41,0.39,0.03,243.75,49.2,0.04,40.3,23.23,0,0.16,0,0.49,0.21,0,1.34,0.21,0.75,0.9,0.88,5.43,0.48,133.25,140.95,91.86,110.07,60.61,-13.59,30.44,114.13,33.34,2.57,0.56,0.25
CAPS-125 CAPS-125,1,213.74,943.97,11.54,24.89,75.5,91.08,95.58,3.74,6.57,8.59,1.13,0.58,1.97,0.17,0.44,0.26,0.02,57.15,16.4,0,24.15,17.38,0,0.1,0,0.45,0.52,0,1.85,0.14,0.66,0.94,1.05,6.65,0.54,145.49,145.6,98.11,115.67,63.37,-9.96,30.45,108.14,32.04,2.21,0.54,0.26
CAPS-126 CAPS-126,1,108.49,771.79,32.51,33.21,27.22,29.57,32.53,0.89,0.84,1,0.83,0.55,1.53,0.06,0.07,0.53,0,134.98,155.3,0,214.85,105.83,0,0.03,0,0.26,0.05,0,0.17,0.39,0.73,0.89,0.89,0.83,0.43,148.36,149.71,103.11,120.9,64.82,-10.54,29.89,109.44,31.7,0.96,0.63,0.21
CAPS-127 CAPS-127,1,176.81,1788.33,59.61,60.18,29.55,38.93,41.97,0.65,0.5,0.71,0.76,0.59,1.35,0.08,0.19,0.52,0.09,152.5,97.95,0.24,147.13,141.9,0.02,0.03,0.04,0.15,0.17,0.04,0.16,0.46,0.61,0.89,0.89,0.5,0.5,162.52,86.31,66.06,107.52,48.51,31.63,31.08,44.47,44.35,1.45,0.77,0.12
CAPS-128 CAPS-128,1,125.36,974.38,41.02,41.49,25.46,29.65,33.33,0.71,0.62,0.81,0.79,0.63,1.27,0.06,0.14,0.55,0.01,45,2.93,0,206.5,133.28,0.02,0.01,0.03,0.12,0.1,0.03,0.11,0.49,0.68,0.89,0.88,0.62,0.47,159.9,158.52,110.59,129.53,68.61,-9.61,31.05,106.86,32.75,1.07,0.63,0.2
CAPS-129 CAPS-129,1,394.67,6864.65,58.45,63.7,130.84,144.58,145.09,2.28,2.24,2.51,0.96,0.35,2.72,0.07,0.25,0.51,0.05,230.2,54.23,0.18,113.33,52.23,0,0.29,0,0.42,0.23,0,1.26,0.24,0.72,0.88,0.9,2.25,0.44,97.49,40.56,34.12,61.68,25.85,27.97,18.43,33.34,33.51,2.3,0.73,0.14
CAPS-130 CAPS-130,1,230.31,2368.76,33.02,34.61,91.1,93.35,94.58,2.7,2.76,2.86,0.62,0.44,1.41,0.05,0.29,0.42,0.06,121.78,52.03,0,84.73,38.6,0,0.13,0,0.23,0.16,0,0.5,0.38,0.78,0.89,0.88,2.77,0.37,109.63,112.91,68.11,86.33,49.21,-10.48,28.82,109.87,30.73,6.44,0.71,0.19
CAPS-131 CAPS-131,1,291.58,4221.09,100.31,102.36,36.89,56.94,67.49,0.56,0.37,0.73,0.52,0.68,0.74,0.11,0.26,0.54,0.07,131.85,114.28,0.14,175.9,87.05,0.16,0.03,0.09,0.05,0.51,0.25,0.06,0.46,0.52,0.88,0.88,0.37,0.55,126.85,68.38,54.2,85.05,37.83,25.69,22.86,41.63,34.39,4.48,0.94,0.14
CAPS-132 CAPS-132,1,494.12,4696.3,26.27,42.76,187.51,203.65,212.57,4.86,7.17,8.27,1,0.64,1.57,0.15,0.44,0.37,0.07,217.3,109.3,0.01,33.9,12.13,0,0.05,0,0.32,0.65,0,2.09,0.26,0.74,0.99,1.02,7.19,0.47,112.22,116.17,73.58,89.58,50.52,-10.48,27.16,111.09,29.11,3.24,0.55,0.25
CAPS-133 CAPS-133,1,265.95,3223.64,42.06,50.48,84.1,95.42,96.74,1.9,2.02,2.32,1.11,0.38,3.28,0.1,0.22,0.43,0.06,88.03,57.75,0.41,128.1,47.25,0,0.13,0,0.52,0.23,0,1.31,0.2,0.71,0.88,0.9,2.02,0.45,109.27,58.24,47.96,73.86,32.57,23.77,18.88,38.66,30.4,5.07,0.76,0.12
CAPS-134 CAPS-134,1,278.52,4405.64,63.75,68.54,68.09,82.06,88.22,1.2,1.07,1.36,0.99,0.61,1.63,0.11,0.13,0.56,0.06,130.65,178.5,0.18,134.18,68.4,0.01,0.01,0,0.38,0.2,0,0.75,0.26,0.67,0.89,0.89,1.07,0.5,125.32,121.58,91.12,101.91,53.69,-5.1,20.62,103.89,21.24,2.73,0.73,0.14
CAPS-135 CAPS-135,1,292.29,4258.36,63.69,66.25,61.81,82.34,94.55,1.25,0.98,1.5,0.76,0.81,0.91,0.1,0.12,0.63,0.06,135.1,113.18,0.22,90.35,85.93,0.01,0.07,0.07,0.15,0.3,0.18,0.17,0.41,0.6,0.89,0.89,0.98,0.54,128.19,123.82,94.18,104.69,54.66,-4.71,20.13,103.21,20.69,2.18,0.61,0.22
